STRING_ID,English,Translation,Spanish,Chinese,German,Brazilian,French,Russian,Korean
Bartender_Interact_1,What'll it be?,,¿Qué deseas?,那是什么玩意？,Was darf es sein?,E aí?,C'est pour quoi ?,Что закажете?,이게 무엇이 될까요?
Bartender_Interact_2,I spent 10 years in bartending school..  I was held back a lot.,,"Pasé 10 años en una escuela de barmans... Me ""tomé"" mi tiempo.",我在调酒学校呆了 10 年……我的大好青春啊。,Ich bin 10 Jahre zur Barkeeper-Schule gegangen... Ich bin oft sitzen geblieben.,Passei 10 anos na escola de barman... atrasei bastante.,J'ai passé 10 ans dans une école de barman... j'ai aussi perdu quelques années de ma vie.,Я десять лет провел в школе барменов... Много раз оставался на второй год.,바텐더 학교에서 10년을 보냈어요.. 엄청 늦어졌죠.
Bartender_Interact_3,I'm gonna make your liver cower in fear.,,Voy a hacer que el hígado se te encoja del miedo.,我会让你吓破胆。,"Ich sorge dafür, dass sich deine Leber vor Angst krümmt.",Vou fazer seu fígado se encolher de medo.,Je vais de faire trembler comme une feuille !,Я заставлю твои поджилки трястись!,간이 두려움에 벌벌 떨게 해주지.
Bartender_Interact_4,I think you've had enough... is something I never say.,,Creo que ya has tomado suficiente... es algo que nunca digo.,我觉得你喝得已经够多了……我永远不会说出这句话。,"Ich glaube, du hattest genug... ist etwas, das ich niemals sage.",Acho que já é o suficiente... é algo que eu nunca falei.,Je crois que j'en ai assez... une chose que vous ne m'entendrez jamais dire.,"Я думаю, тебе хватит... Шучу.",충분히 한 거 같아요... 제가 말하지 않은 무언가가 있나요.
Bartender_Interact_5,Shots shots shots!.. I'm actually out of shots.,,"¡Tragos, tragos, tragos!... En realidad se me acabaron los tragos.",干干干！！我的酒已经被你喝光了。,"Kurze, Kurze, Kurze! ... Ich habe keine Kurzen mehr.",Doses doses doses!... Na verdade minhas doses acabaram.,"Des shots ! Des shots ! Des shots !.. En fait, je n'en ai plus.","Шоты, шоты, шоты... Хм, а шотов-то и нет.",빵 빵 빵!... 실제로 사정거리 밖이에요.
Bartender_Bought,Thaaaaaanks!,,¡Graaaaaaacias!,谢了啊~~,Daaaaaaanke!,Obrigaaaaaado!,Meeeeeerci !,Спаси-и-ибо!,고마워요!
Bouncer_CanPass,"Alright, you're cool.",,"Bien, puedes pasar.",好啦，你过检了。,"Okay, alles klar.","Tudo bem, você é legal.","Ok, tu peux entrer.","Окей, все путем.","좋아요, 쿨 한데요."
Bouncer_CanPassGroup,"Alright, you and your friends are cool.",,"Bien, tú y tus amigos pueden pasar.",好啦，你和你哥们过检了。,"Okay, du und deine Freunde, ihr dürft durch.","Tudo bem, você e seus amigos são legais.","Ok, toi et ton potes pouvez entrer.","Так, ты и твои друзья — проходите.","좋아요, 당신과 친구들은 멋진데요."
Bouncer_CanPassProtector,"Alright, no one will bother you.",,"Bien, nadie te molestará.",安啦，不会有人去烦你。,"Okay, niemand wird dich belästigen.","Tudo bem, ninguém incomodará você.","Ok, personne ne te dérangera.","Ок, тебя больше никто не потревожит.","좋아요, 아무도 당신을 귀찮게 하지 않을 거예요."
Bouncer_CanPassGroupProtector,"Alright, no one will bother you and your friends.",,"Bien, nadie te molestará ni a ti ni a tus amigos.",安啦，不会有人去烦你和你哥们。,"Okay, niemand wird dich und deine Freunde belästigen.","Tudo bem, ninguém incomodará você ou seus amigos.","Ok, personne ne vous dérangera, toi et tes potes.","Ок, никто больше не потревожит ни тебя, ни твоих друзей.","좋아요, 아무도 당신과 친구들을 귀찮게 하지 않을 거예요."
Bouncer_DontNeedMoney,"You're good, go right ahead.",,"Estás bien, adelante.",你通过了，进去吧。,"Alles gut, geh ruhig weiter.","Tá tranquilo, pode seguir em frente.","C'est bon, entre.","Все в порядке, проходи.","좋아요, 어서 하죠."
NA_Joke_1,Derp de derpity derp!,,¡Derp de derpity derp!,巴拉巴拉巴拉！,Derp de derpity derp!,Derp de derpity derp!,Derp de derpity derp !,Бла-бла-бла бла-бла-бла бла!,Derp de derpity derp!
NA_Joke_2,Derpa derpa derp... de derp!,,¡Derpa derpa derp... de derp!,巴拉巴拉……巴拉！,Derpa derpa derp... de derp!,Derpa derpa derp... de derp!,Derpa derpa derp... de derp !,Бла бла-бла-бла бла бла... бла бла!,Derpa derpa derp... de derp!
NA_Joke_3,Derrrrpa derp!  Derp derpa derp!,,¡Derrrrpa derp! ¡Derp derpa derp!,巴拉巴拉！巴拉巴拉巴拉！,Derrrrpa derp! Derp derpa derp!,Derrrrpa derp! Derp derpa derp!,Derrrrpa derp ! Derp derpa derp !,"Бла-а-а бла-бла! Бла, бла бла-бла!",Derrrrpa derp! Derp derpa derp!
NA_Joke_4,Derpy derp derp?  De derp derp!,,¿Derpy derp derp? ¡De derp derp!,巴拉巴拉巴拉？巴拉巴拉！,Derpy derp derp? De derp derp!,Derpy derp derp? De derp derp!,Derpy derp derp ? De derp derp !,Бла-бла бла-бла бла? Бла! Бла-бла-бла!,Derpy derp derp? De derp derp!
NA_Joke_5,Derpa derp de derp derp.  Derrrrp!,,Derpa derp de derp derp. ¡Derrrrp!,巴拉巴拉巴拉……巴拉！,Derpa derp de derp derp. Derrrrp!,Derpa derp de derp derp. Derrrrp!,Derpa derp de derp derp. Derrrrp !,Бла-бла-бла бла бла-бла бла. Бла-а-а-а!,Derpa derp de derp derp. Derrrrp!
Cop_IgnoreCrimesFloor,"Alright, we'll turn the other way for your future misdeeds.",,"Bien, haremos caso omiso a tus futuras fechorías.",好吧，我们以后会对你睁一只眼闭一只眼。,"Okay, wir schauen weg, wenn du in Zukunft Missetaten begehst.","Tudo bem, vamos ignorar seus futuros crimes.","Très bien, nous regarderons ailleurs pour vos prochains méfaits.","Окей, мы не будем обращать внимание на твои преступления.","좋아요, 우리가 당신의 미래 악행에 대해 다른 방향으로 돌릴게요."
Cop2_IgnoreCrimesFloor,"Alright, we'll turn the other way for your future misdeeds.",,"Bien, haremos caso omiso a tus futuras fechorías.",好吧，我们以后会对你睁一只眼闭一只眼。,"Okay, wir schauen weg, wenn du in Zukunft Missetaten begehst.","Tudo bem, vamos ignorar seus futuros crimes.","Très bien, nous regarderons ailleurs pour vos prochains méfaits.","Окей, мы не будем обращать внимание на твои преступления.","좋아요, 우리가 당신의 미래 악행에 대해 다른 방향으로 돌릴게요."
Cop_IgnoreCrimesGroupFloor,"Alright, we'll turn the other way for you and your scuzzy friends.",,"Bien, haremos caso omiso a tus futuras fechorías y las de tus turbios amigos.",好，我们会对你和你那些狐朋狗友睁一只眼闭一只眼。,"Okay, wir schauen weg, wenn du und deine schmierigen Freunde in Zukunft Missetaten begeht.","Tudo bem, vamos ignorar você e seus amigos desagradáveis.","Très bien, nous tournerons la tête pour vous et vos collègues.","Хорошо, мы не будем обращать внимание на преступления твоих друзей. И на твои тоже.","좋아요, 우리가 당신과 당신의 역겨운 친구들을 위해 다른 방향으로 돌릴게요."
Cop2_IgnoreCrimesGroupFloor,,,,,,,,,
Cop_DontNeedMoney,We got yer back.,,Cuenta con nuestra protección.,有我们罩着你呢。,Wir halten dir den Rücken frei.,Te damos cobertura.,On est avec vous.,Мы тебя прикроем.,우리가 도울게요.
Cop2_DontNeedMoney,We got yer back.,,Cuenta con nuestra protección.,有我们罩着你呢。,Wir halten dir den Rücken frei.,Te damos cobertura.,On est avec vous.,Мы тебя прикроем.,우리가 도울게요.
Cop_Strike1,Watch yourself!,,¡Ten cuidado!,留神！,Pass auf!,Tome cuidado!,Attention !,Ты чего?,조심해요!
Cop_Strike2,You better stop that!,,¡Más te vale parar con eso!,你小心点儿！,Das lässt du besser sein!,Melhor parar com isso!,Arrêtez ça !,А ну перестань!,그걸 멈추는 게 나을 거예요!
Cop_Interact_1,"Keep your nose clean, citizen!",,"¡Mantente fuera de problemas, ciudadano!",别再惹麻烦了，小子！,"Bleib sauber, Bürger!","Mantenha seu nariz limpo, cidadão!","Restez tranquille, citoyen !",Не нарывайся на неприятности!,"시민이여, 코를 깨끗하게 유지하세요!"
Cop_Interact_2,Does this bloodstain on my shirt make me look badass?,,¿Esta mancha en mi camisa me hace ver rudo?,我衬衫上的血迹会不会让我显得很酷？,Lässt dieser Blutfleck auf meinem Hemd mich krass aussehen?,Essa mancha de sangue na minha camisa me faz parecer mais durão?,"Ces tâches de sang, sur ma chemise, elles me donnent un air badass ?",А я круто смотрюсь с кровью на рубашке?,제 셔츠의 혈흔이 거친 사람처럼 보이게 하나요?
Cop_Interact_3,"Psssst, I can be bribed easily!  REAL easily!",,Pssst... ¡puedo ser sobornado fácilmente! ¡MUY fácilmente!,嘘，我很好收买！真的！,"Psssst, mich kann man ganz einfach bestehen! GANZ einfach!","Pssssiu, posso ser subornado facilmente! BEM facilmente!","Psssst, je suis très sensible aux pots-de-vin ! Je veux dire : TRÈS TRÈS sensible !","Слушай, меня совсем несложно подкупить... Только тихо!","하, 저를 뇌물로 매수하는 건 쉬워요! 아주 쉬워요!"
Cop_Interact_4,"If you break the law, can you do it in front of me?  Makes my job easier.",,"Si violas la ley, ¿podrías hacerlo frente a mí? Eso facilita mi trabajo.",要是你想犯事，能不能当着我的面来？这能省我不少事。,"Wenn du gegen das Gesetz verstößt, kannst du das dann vor meinen Augen tun? Das erleichtert meine Arbeit.","Se você violar a lei, você poderia fazer isso na minha frente? Facilita bastante meu trabalho.","Si vous comptez enfreindre la loi, vous pourriez le faire devant moi ? Ça me faciliterait la tâche.","Если решить нарушить закон, сделай это у меня на виду, ок? Не усложняй мне жизнь.","당신이 법을 위반하는 경우, 제 앞에서 그걸 할 수 있나요? 제 일을 더 쉽게 만들죠."
Cop_Interact_5,"There's no corruption in our department, only mild crookedness.",,"No hay corrupción en nuestro departamento, sólo alguna leve deshonestidad.",我们的部门没有腐败，只有收黑钱。,"Es gibt keine Korruption in unserer Abteilung, nur leichte Verworfenheit.","Não há corrupção em nosso departamento, só uma leve desonestidade.","Pas de corruption dans notre service, juste des degrés d'interprétation de la loi.","Наш участок совсем не коррумпирован. Так, берем изредка. Взяточку-другую.","우리 부서에는 부정부패가 없어요, 단지 약간 부정직한 경우는 있죠."
Cop_InteractB_1,"Lookin' sharp, fellow peacekeeper!",,"¡Se te ve bien, compañero!",你今天很帅气嘛，哥们！,"Sieht gut aus, Kollege Friedenswächter!","Tá na moral, companheiro!","Ça a l'air d'aller, collègue !","Все путем, коллега!","날카로워 보이는, 동료 피스키퍼!"
Doctor_Interact_1,"I'm no plastic surgeon, but I can be for the right price!",,"No soy cirujano plástico, ¡pero puedo serlo si das con mi precio!",我不是整形医生，不过只要你出的价钱合适，这活我也接！,"Ich bin kein plastischer Chirurg, aber zum richtigen Preis kann ich einer sein!","Não sou um cirurgião plástico, mas posso virar um dependendo do preço!",Je ne suis pas chirurgien esthétique... mais je peux le devenir en fonction du prix !,"Я не пластический хирург, но если нужно... и деньги большие... то да!","저는 성형외과 의사가 아니지만, 적당한 가격에 가능하긴 해요!"
Doctor_Interact_2,"I heal, and I keep it real!",,"Mi negocio es curar, ¡sin vacilar!",我不仅妙手回春，还妙手仁心！,Ich heile und bleibe mir treu!,"Meu negócio é curar, sem vacilar!","Je soigne, je sauve des vies et je joue au golf !",Лечу без лишних сложностей!,"제가 치료하고, 계속 진짜로 만들 거예요!"
Doctor_Interact_3,"I don't have the cure for a broken heart, why does everyone ask about that?",,"No tengo la cura para un corazón roto, ¿por qué todos piden eso?",我治不好情伤，为什么每个人都要问一遍？,"Ich habe kein Heilmittel für ein gebrochenes Herz, warum fragen mich alle danach?","Não tenho a cura para um coração partido, por que todo mundo me pergunta isso?",Je n'ai pas de remède contre un cœur brisé. Pourquoi tout le monde me demande ça ?,"Нет у меня лекарства от разбитого сердца, почему меня все об этом спрашивают?","상처받은 영혼을 위한 치료제는 없어요, 왜 모두가 그걸 묻는 거죠?"
Doctor_Interact_4,"Three days without an accident, gotta keep it going!",,"Tres días sin accidentes, ¡hay que seguir así!",三天没出医疗事故，好势头，要保持下去！,"Drei Tage ohne einen einzigen Unfall, so kann es weitergehen!","Três dias sem um acidente, não posso deixar parar!",Trois jour sans incident. Je tiens le bon bout !,"Три дня без происшествий, как бы не прервать цепочку...","사고 없이 3일, 계속해야 해요!"
Doctor_Interact_5,Interested in a bootleg colostomy bag?,,¿Te interesa una bolsa de colostomía falsificada?,想不想私下倒腾点结肠造瘘袋？,Hast du Interesse an einem geschmuggelten Kolostomiebeutel?,Tem interesse em uma bolsa de colostomia contrabandeada?,Ça vous dit une poche de colostomie sous le manteau ?,Нужен контрабандный калоприемник?,불법 인공 항문 개설술에 관심이 있나요?
Doctor_CantHeal,"You look fine, stop being a wussy!",,"Te ves bien, ¡deja de lloriquear!",你没事的，别孬种！,"Du siehst gut aus, stell dich nicht so an!","Você está bem, deixe de ser bebê chorão!","Allez, c'est bon, vous n'avez rien. Arrêtez de faire la chochotte !","Да все с тобой в порядке, хватит ныть!","좋아 보이네요, 겁쟁이는 그만 해요!"
Doctor_CantHealVampire,"Sorry, can't help you.  My training didn't cover the undead.",,"Lo siento, no puedo ayudarte. Justo falté a la clase sobre muertos vivos.",抱歉，再下无能为力。我接受的训练可不包括亡灵。,"Tut mir leid, ich kann dir nicht helfen. In meiner Ausbildung kamen keine Untoten vor.","Sinto muito, não posso te ajudar. Meu treinamento não cobre mortos-vivos.","Désolé, je ne peux pas vous aider. Ma formation ne portait pas sur les morts-vivants.","Прости, ничем не могу помочь. В универе про нежить не рассказывали.","미안해요, 도와줄 수가 없어요. 제 훈련은 죽지 않은 이에게 소용이 없어요."
Doctor_Healed,"There ya go, all patched up!",,"Listo, ¡todo emparchadito!",好嘞，伤口都给你都缝好了！,"So, da haben wir es, alles geflickt!","Prontinho, tudo no lugar!",Et voilà. Comme neuf !,"Во-от, другое дело, все залатал!","그렇지, 모두 수선했어요!"
Doctor_CantUseWeapons,"No weapons for me.  I like to heal people, not hurt them!",,"Armas no, gracias. Me gusta curar a la gente, ¡no lastimarla!",不用给我武器。我是医生，不是杀手！,"Keine Waffen für mich. Ich heile gern Menschen, ich verletze sie doch nicht!","Nada de armas para mim. Eu queria curar as pessoas, não machucá-las!","Pas d'arme pour moi. J'aime soigner les gens, pas les blesser !","Я не пользуюсь оружием. Я лечу людей, а не убиваю их!",저를 위한 무기는 없어요. 사람들을 다치게 하는 게 아니라 치료하고 싶어요.!
DrugDealer_Bought,Thaaaaaanks!,,¡Graaaaaaacias!,谢了啊~~,Daaaaaaanke!,Obrigaaaaaado!,Meeeeeerci !,Спаси-и-ибо!,감사아~합니다!
Gorilla_Interact_1,Ook ook ook.,,"Uk, uk, uk.",吼吼吼！！,"Uuk, Uuk, Uuk.",Ook ook ook.,Hou hou hou.,"У, у, а, а.",욱 욱 욱.
Gorilla_InteractB_1,How do you do on this fine day?,,¿Cómo estás en este bello día?,今天天气不错，你好呀。,Wie geht es dir an diesem schönen Tag?,Como você está neste belo dia?,Comment allez-vous en cette belle journée ?,Как ты себя чувствуешь?,이 좋은 날 어떻게 지내시나요?
Gorilla_CantSpeakEnglish,I can't speak English.,,No sé hablar español.,我不会说人类的语言。,Ich spreche kein Deutsch.,Não falo português.,Je ne parle pas français.,Я не говорю по-русски.,전 한국어를 몰라요.
Gorilla_CantUseGuns,My fingers are too big and stubby to use guns!,,¡Mis dedos son demasiado grandes y gordos para usar armas!,我的手指又短又粗，没法使枪！,Meine Finger sind zu groß und stummelig zum Verwenden von Waffen!,Meus dedos são muito grandes e grossos para usar pistolas!,Mes doigts sont trop grands et épais pour utiliser des pistolets !,"У меня слишком толстые пальцы, не могу использовать оружие!",제 손가락은 너무 크고 뭉툭해서 총을 사용할 수가 없어요!
Gorilla_LetGo,It has been an honor and a privilege!,,¡Ha sido un honor y un privilegio!,我感到万分荣幸！,Es war mir eine Ehre und es ist ein Privileg!,Foi uma honra e um privilégio!,C'était un honneur et un privilège !,Это было для меня честью!,영광이자 특혜였습니다!
Gorilla_LetGoLowHealth,"I must leave you, for the pain is too great!",,"Debo dejarte, ¡el dolor es demasiado intenso!",我血太少，得先撤了！,"Ich muss dich verlassen, denn der Schmerz ist zu groß!","Eu preciso te deixar, pois a dor é muito grande!",Je dois vous quitter : la douleur est trop importante !,"Я должен покинуть тебя, моя боль слишком сильна!",전 당신을 떠나야 해요. 고통이 너무 컸죠!
Gorilla_WontAttack,"Tis a poor idea, for I am too weak!",,"No es buena idea, ¡estoy muy débil!",这个点子不咋样，我身子太虚了！,"Das ist eine schlechte Idee, denn ich bin zu schwach!","É uma má idéia, pois estou muito fraco!",Ce n'est pas une très bonne idée : je suis trop faible !,"Плохая мысль, у меня совсем нет сил!",이건 안 좋은 아이디어예요. 전 너무 약해요!
Gorilla_WontJoinA,"To be blunt, I'd prefer not to, because you are unpleasant.",,"Para ser franco, preferiría que no, porque no eres agradable.",恕我直言，你这个人太讨厌，我不想跟你干。,"Um ehrlich zu sein, würde ich das nicht so gern tun, denn du bist mir irgendwie unangenehm.","Para ser franco, eu prefiro não, pois você é desagradável.","Pour être franc, je préfère éviter : vous m'êtes désagréable.","Если честно, я пас, ты мне не нравишься.","직설적으로 말하면, 전 하기 싫어요. 당신이 싫으니까요."
Gorilla_WontJoinB,"I'm afraid not, there are simply too many of you.",,"Temo que no, sencillamente hay demasiados de ustedes.",恐怕不行，你们人太多了。,"Tut mir leid, es sind einfach zu viele von euch.","Acho que não, seu grupo é grande demais.",Je crains que non : vous êtes simplement trop nombreux.,"Прости, но нет. Вас и так слишком много.",안 그럴까 염려되는군요. 당신 같은 이들이 너무 많아요.
Gorilla_WontJoinC,"Sorry, I'm feeling a bit under the weather...",,"Lo siento, creo que me estoy por enfermar...",抱歉，我觉得有点不太舒服……,Tut mir leid. Ich bin etwas angeschlagen...,"Sinto muito, não estou me sentindo bem...","Désolé, je ne me sens pas très bien...","Прости, у меня, кажется, грипп...","미안해요, 좀 기분이 나빠요..."
Gorilla_WontJoinD,"Alas, I am imprisoned.",,"Por desgracia, estoy encarcelado.",唉，我被关起来了。,"Ach, ich bin gefangen.","Infelizmente, estou preso.","Hélas, je suis emprisonné.","Увы, я сижу в клетке.","아~, 감옥에 갇혔어요."
Gorilla_WontJoinE,"I've had enough tomfoolery for today, thank you!",,"¡He tenido bastantes payasadas por hoy, gracias!",我今天干的蠢事已经够多了，敬谢不敏！,"Ich hatte heute schon genug Albernheiten, vielen Dank!","Já tive bobagem demais por hoje, obrigado!","J'ai eu assez de divertissements absurdes pour aujourd'hui, merci !","Хватит с меня игр на сегодня, спасибо!",오늘 바보 같은 짓을 충분히 했어요. 고마와요!
Gorilla_Rescue,"Thank you, my beautiful friend!",,"¡Muchas gracias, mi adorado amigo!",谢谢你，漂亮的朋友！,"Vielen Dank, mein schöner Freund!","Obrigado, meu belo amigo!","Merci, mon bel ami !","Спасибо, мой дорогой друг!","고마워요, 내 아름다운 친구!"
Gorilla_Joined,"Lead the way, my newfound chum!",,"¡Te sigo, nuevo compañero!",带路吧，新朋友！,"Geh du voran, mein neuer Kumpel!","Vá na frente, colega!","Allons-y, mon nouveau compagnon !","Веди, друг!","길을 안내해, 새로운 친구!"
Gorilla_Strike1,Ook ook!,,¡Uk uk!,吼吼！,Uuk Uuk!,Ook ook!,Hou hou !,"У, у!",욱 욱!
Gorilla_Strike2,OOK OOK OOK!!,,¡¡UK UK UK!!,吼吼吼！！,UUK UUK UUK!!,OOK OOK OOK!!,HOU HOU HOU !!,"У, У, А, А!!!",욱 욱 욱!!
Gorilla_NonEnglish,Ook ook ook!,,¡Uk uk uk!,吼吼吼！,"Uuk, Uuk, Uuk!",Ook ook ook!,Hou hou hou !,"У, у, а, а!",욱 욱 욱!
Gangbanger_Interact_1,My initiation involved a lot of helping old ladies.  It was a pleasant surprise.,,Mi iniciación implicó ayudar a muchas ancianas. Fue una sorpresa agradable.,我只不过是扶些老太太过马路，那感觉居然相当不错。,"Zur meiner Aufnahme gehörte es, vielen alten Damen zu helfen. Es war eine angenehme Überraschung.",Minha iniciação envolveu um bocado de ajuda a velhinhas. Foi uma grata surpresa.,Mon initiation impliquait d'aider beaucoup de vieilles dames. C'était une agréable surprise.,Во время инициации мне пришлось много помогать разным старушкам. Это стало для меня сюрпризом.,제 입회식에는 나이 많은 도우미 레이디들이 많이 참여했어요. 즐거운 놀라움이었죠.
Gangbanger_Interact_2,Do my pants look saggy?  It's so embarrassing when that happens.,,¿Se ven caídos mis pantalones? Me da tanta vergüenza cuando me pasa eso.,我裤子掉了？感觉好丢人。,Hängt meine Hose runter? Das ist echt immer so peinlich.,Minha calça está amassada? É muito vergonhoso quando isso acontece.,Mon pantalon tombe ? C'est la honte quand ça arrive.,"У меня штаны не провисли? Мне так неудобно, когда это случается.",제 바지가 처진 것 같아요? 이렇게 되면 너무 당황스러워요.
Gangbanger_Interact_3,Want my help 'neutralizing' someone?,,"¿Necesitas ayuda para ""neutralizar"" a alguien?",想要我帮你“弄掉”谁吗？,"Willst du, dass ich dir dabei helfe, jemanden zu ‚neutralisieren‘?","Quer minha ajuda para ""neutralizar"" alguém?",Besoin d'aide pour 'neutraliser' quelqu'un ?,Тебе не нужно никого «нейтрализовать»?,누군가를 '무력화'하는 제 도움을 원하나요?
Gangbanger_Interact_4,What our gang really needs is a secret handshake.,,Lo que realmente necesita nuestra pandilla es un apretón de manos secreto.,我们帮里真正需要的是秘密接头手势。,Unsere Gang braucht wirklich dringend einen geheimen Handschlag.,O que nossa gangue precisa de verdade é de um aperto de mão secreto.,Notre gang a vraiment besoin d'une poignée de main secrète.,Нашей банде нужно придумать секретное рукопожатие.,우리 갱단에 정말 필요한 것은 비밀 악수입니다.
Gangbanger_Interact_5,I wish we were one of those gangs that solved our differences by dancing.,,Ojalá fuésemos una de esas pandillas que resuelven sus diferencias con una competencia de baile.,我希望我们可以像别的帮派那样，通过尬舞解决争端。,"Ich wünschte, wir wären eine dieser Gangs, die ihre Meinungsverschiedenheiten mit Tanzen löst.",Eu queria que fizéssemos parte de uma daquelas gangues que resolveram nossas diferenças dançando.,J'aimerais tellement qu'on soit un de ces gangs qui règlent tous leurs problèmes en dansant.,"Было бы круто, если у нас в банде все решалось танцами.",우리가 춤을 춰서 차이를 해결한 이러한 갱단 중 하나였으면 해요.
Gangbanger_Joined,"Let's roll.. err, foot?",,"Vámonos en... eeh, ¿caminando?",出发吧……呃，走着去？,Lass uns... gehen?,"Vamos nessa... err, a pé?",En voit... allons-y !,Понеслась!.. Да?,"굴러가자.. 어, 가자?"
Gangbanger_LetGo,Pleasure working with ya!,,¡Un placer trabajar contigo!,很高兴曾与你并肩作战！,"Es ist mir ein Vergnügen, mit dir zu arbeiten!",É um prazer trabalhar com você!,Un plaisir de bosser avec toi !,Рад был поработать вместе!,함께 일하게 되어 반갑습니다!
Gangbanger_LetGoLowHealth,I don't feel so hot.  I can't keep going.,,No me siento demasiado bien. No puedo seguir.,我不太舒服，不能再跟你走了。,Ich fühle mich nicht so gut. Ich kann nicht mehr.,Eu não estou muito legal. Não posso continuar.,Je ne me sens pas top. Je peux pas continuer.,Что-то мне нехорошо. Я дальше не пойду.,별로 핫하지 않은 것 같아요. 계속할 수가 없어요.
Gangbanger_WontAttack,"No way, I'd get killed!",,¡Ni lo sueñe! ¡No quiero morir!,没门，我会送命的！,"Keine Chance, dabei würde ich draufgehen!","Nem pensar, não quero morrer!","Aucune chance, je vais me faire buter !",Ну уж нет. Меня же убьют!,"안 돼, 살해 당할 것 같아!"
Gangbanger_WontJoinA,You?... No.,,¿Tú?... No.,你？……不要。,Du? ... Nein.,Você?... Não.,Toi ?... Non.,Ты?.. Нет.,당신?... 아니요.
Gangbanger_WontJoinB,"Nah, your posse's already too big..",,"No lo creo, tu grupo ya es demasiado grande.",不要，你们那里人太多了……,"Nein, deine Bande ist schon zu groß...","Nã, seu bando já é muito grande...","Nope, ton crew est déjà blindé..","Ну не, у тебя и так слишком большая банда.","안 돼, 자네 무장대는 이미 너무 커.."
Gangbanger_WontJoinC,I'm not in good enough shape to join you..,,No estoy en suficiente buena forma para unirme a ustedes.,我身体不太好，没法跟你干……,"Ich bin nicht gut genug in Form, um mich dir anzuschließen...",Não estou suficientemente em forma para me juntar a vocês...,Je ne suis pas assez en forme pour venir..,"Я не в форме, не могу пойти с тобой...",당신과 합류하기에 전 상태가 좋지 않아요.
