STRING_ID,English,Translation,Description,Spanish,Chinese,German,Brazilian,French,Russian,Korean
CharacterSelectTitle,Who do you want to be today?,,,¿Quién quieres ser hoy?,今天想玩什么角色？,Wer möchtest du heute sein?,Quem você gostaria de ser hoje?,Qui voulez-vous être aujourd'hui ?,Кем ты хочешь быть сегодня?,오늘은 누가 되시겠어요?
HairType,Hair Type,,,Tipo de cabello,发型,Haartyp,Tipo de Cabelo,Type de cheveux,Прическа,헤어 유형
HairColor,Hair Color,,,Color de cabello,头发颜色,Haarfarbe,Cor do Cabelo,Couleur des cheveux,Цвет волос,헤어 컬러
FacialHairType,Facial Hair,,,Vello facial,胡须,Gesichtsbehaarung,Pelos Faciais,Pilosité faciale,Волосы на лице,턱수염
SkinColor,Skin Color,,,Color de piel,肤色,Hautfarbe,Cor da Pele,Couleur de peau,Цвет кожи,피부 컬러
MainMenuInstr3,Select,,,Seleccionar,选择,Auswählen,Selecione,Sélectionner,Выбрать,선택
MainMenuInstr4,Close,,,Cerrar,关闭,Schließen,Fechar,Fermer,Закрыть,닫기
CharacterSelectInstr1,Click,,,Clic,单击,Klicken,Clique,Clic,Щелчок,클릭
CharacterSelectInstr1_2,- UnAccept Choice,,,- No aceptar la opción,- 不接受选择,- Auswahl nicht akzeptieren,-Rejeita a Escolha,- Annuler le choix,- Снять выбор,- 선택 거부
CharacterSelectInstr2,Click Twice,,,Doble clic,点击两次,Doppelklicken,Clique Duas Vezes,Double clic,Двойной щелчок,두 번 클릭
CharacterSelectInstr2_2,- Accept Choice,,,- Aceptar la opción,- 接受选择,- Auswahl akzeptieren,- Aceitar a Escolha,- Accepter le choix,- Подтвердить выбор,- 선택 수락
CharacterSelectInstr3,Esc,,,Esc,Esc,Esc,Esc,Échap,Esc,종료
CharacterSelectInstr3_2,- Leave,,"Meaning ""leave this menu""",- Salir,- 退出,- Verlassen,- Sair,- Quitter,- Выход,- 나가기
CharacterSelectInstr4,UnAccept Choice,,,No aceptar la opción,不接受选择,Auswahl nicht akzeptieren,Rejeita a Escolha,Annuler le choix,Снять выбор,선택 거부
CharacterSelectInstr5,Return to Character Select,,,Regresar a Seleccionar personaje,返回角色选择,Zurück zur Spielfigurenauswahl,Retornar para Selecionar Personagem,Retourner à la sélection des personnages,Вернуться к выбору персонажа,캐릭터 선택으로 돌아가기
CharacterSelectInstr6,Accept Choice,,,Aceptar la opción,接受选择,Auswahl akzeptieren,Aceitar a Escolha,Accepter le choix,Подтвердить выбор,선택 수락
CharacterSelectInstr7,Change Appearance,,Change the appearance of the character you are selecting,Cambiar apariencia,更改外观,Aussehen verändern,Alterar Aparência,Changer d'apparence,Изменить внешность,모양 변경
CharacterSelectInstr8,Leave,,,Salir,退出,Verlassen,Sair,Quitter,Выйти,나가기
CharacterSelectInstr9,Space,,,Espacio,空格键,Leertaste,Espaço,Espace,Пробел,스페이스
CharacterSelectInstr9_2,- Select Random,,,- Seleccionar al azar,- 选择随机,- Zufällig auswählen,- Selecionar Aleatório,- Sélection aléatoire,- Случайный выбор,- 랜덤 선택
CharacterSelectInstr10,Select Random,,,Seleccionar al azar,选择随机,Zufällig auswählen,Selecionar Aleatório,Sélectionner aléatoirement,Случайный выбор,랜덤 선택
CharacterSelectInstr11,Ctrl,,,Ctrl,Ctrl,Strg,Ctrl,Ctrl,Ctrl,Ctrl
CharacterSelectInstr11_2, - Randomize Appearance,,, - Aleatorizar apariencia, - 随机化外观, - Randomize Appearance, - Aleatorizar aparência, - Apparence aléatoire, - Случайный внешний вид, - 모양 무작위 화
CharacterSelectInstr12,Randomize Appearance,,,Aleatorizar apariencia,随机化外观,Randomize Appearance,Aleatorizar aparência,Apparence aléatoire,Случайный внешний вид,모양 무작위 화
InvInstr1,Shift + Click = Drop,,,Mayús+clic = soltar,Shift + 单击 = 丢弃,Umschalttaste+Klicken = Fallen lassen,Shift+Clique = Soltar,Maj+Clic = Lâcher,Shift+Щелчок = Бросить,Shift + 클릭 = 드롭
InvInstr2,Shift + Num = Toolbar,,,Mayús+Num = barra de herramientas,Shift + 数字 = 工具栏,Umschalttaste+Num = Symbolleiste,Shift+Num = Barra de Ferramentas,Maj+Num = Barre de raccourcis,Shift+Num = Панель действий,Shift + Num = 도구 모음
InvInstr3,Use,,,Usar,使用,Benutzen,Usar,Utiliser,Использовать,사용
InvInstr4,Close,,,Cerrar,关闭,Schließen,Fechar,Fermer,Закрыть,닫기
InvInstr5,Assign to Toolbar,,,Herramientas,分配至工具栏,Symbolleiste,Barra de Ferramentas,Barre de raccourcis,панель действий,도구 모음에 할당
InvInstr6,Drop,,,Soltar,丢弃,Fallen lassen,Soltar,Lâcher,Выбросить,드롭
InvInstr7,Passive,,Meaning an item that functions passively -- for example an item that gradually regenerates your health while it's in your inventory,Pasivo,被动,Passiv,Passivo,Passif,Пассивный эффект,수동
InvInstr8,Drop / Split,,,Soltar / Dividirse,丢弃 / 分裂,Fallen lassen / Teilen,Soltar / Rachar,Lâcher / Partager,Выбросить / разбивать,드롭 / 나누다
InvInstr9,Alt + Click = Split,,,Alt + Clic = Dividir,Alt+单击=拆分,Alt + Klick = Teilen,Alt + Clique = Dividir,Alt + Clic = diviser,Alt + Щелчок = Разделенный экран,알트 + 클릭 = 나누기
CharacterSheetInstr,Scroll Stats,,,Desplazar estadísticas,滚动属性,Durch Statistik scrollen,Deslizar Estatísticas,Parcourir les statistiques,Прокрутка по характеристикам,통계 스크롤
ChallengesInstr,"Choose a mutator!  Heck, choose two!",,,"¡Elige un modificador! Vamos, ¡puedes elegir dos!",选择一个突变！见鬼，选择两个！,"Wähle einen Mutator aus! Ach was soll's, wähle zwei aus!","Escolha um modificador! Tudo bem, pode escolher dois!","Choisissez un mutateur ! Allez, soyons fou : choisissez-en deux !","Выбери мутатор! Да что там, выбери два!","돌연변이를 선택하세요! 이런, 두 가지를 선택하세요!"
CharacterSelectScrollingInstr,Who do you want to be today?,,,¿Quién quieres ser hoy?,今天想玩什么角色？,Wer möchtest du heute sein?,Quem você gostaria de ser hoje?,Qui voulez-vous être aujourd'hui ?,Кем ты хочешь быть сегодня?,오늘은 누가 되시겠어요?
FloorsInstr,Where do you want to start the next game?  Highlight locked floors to see requirements.,,,¿Dónde quieres empezar el próximo juego? Resalta las plantas bloqueadas para ver los requisitos.,你想从哪里开始下一局 游戏？高亮显示锁定的楼层即可查看要求。,"Wo möchtest du das nächste Spiel starten? Markiere gesperrte Abschnitte, um die Anforderungen zu sehen.",De onde você deseja começar o próximo jogo? Destaque os andares bloqueados para visualizar os requisitos.,Où voulez-vous démarrer la prochaine partie ? Mettez en surbrillance les niveaux verrouillés pour voir les prérequis.,"Где начать следующую игру? Чтобы посмотреть требования, наведи курсор на закрытые этажи.",다음 게임을 어디에서 시작 하시겠습니까? 잠긴 바닥을 강조 표시하여 요구 사항을 확인합니다.
ItemsInstr,"These items will appear as rewards when you complete missions, or when choosing a loadout",,,Estos objetos aparecerán como recompensa cuando completes misiones o al escoger un equipo inicial,当你完成任务或选择装备时，这些物品会显示为奖励,"Diese Gegenstände erscheinen als Belohnungen, wenn du Missionen abschließt oder eine Ausrüstung wählst.",Estes itens aparecerão como recompensa ao concluir missões ou ao escolher um equipamento inicial,Ces objets apparaîtront en tant que récompenses quand vous terminez des missions ou en choisissant un équipement,Вы получите эти предметы в награду за прохождение миссий или при выборе обвеса,임무를 완료하거나 로드아웃을 선택할 때 이러한 아이템이 보상으로 등장할 것입니다
LoadoutsInstr,Choose a loadout item to be taken into the next game.,,,Elige un artículo de equipo inicial para llevar contigo a la siguiente partida.,选择一个初始道具开始下一局游戏.,"Wähle einen Ausrüstungsgegenstand aus, den du ins nächste Spiel mitnimmst.",Escolha um item de equipamento para ser levado no próximo jogo.,Choisissez un objet de chargement à emporter dans la prochaine partie.,"Выберите обвес, который будет с тобой в следующей игре.",다음 게임으로 가져올 로드아웃 아이템을 선택하세요.
TraitUnlocksInstr,These traits will appear when you gain a skill level and complete the current floor,,,Estos rasgos aparecen cuando adquieres un nivel de habilidad y completas la planta actual,这些技能将在你升级技能和完成当前楼层后出现,"Diese Merkmale werden erscheinen, wenn du ein neues Fähigkeitslevel erreichst und den aktuellen Abschnitt abschließt",Estas características aparecerão quando você ganhar um nível de habilidade e concluir o andar atual,Ces traits apparaîtront quand vous gagnerez un niveau de compétence et terminerez l'étage en cours,"Эти особенности будут появляться, когда ты будешь получать новые уровни или пройдешь этаж",이러한 특성은 기술 레벨을 얻고 현재 플로어를 완료하면 나타납니다.
TraitsInstr,Yeeeeaa boiee!!  You leveled up!  Select a new Trait for your character!,,,"¡¡Bieeeen, chavaaal!! ¡Subiste de nivel! ¡Elige un nuevo rasgo para tu personaje!",哈哈哈！！你升级了！请为你的角色选择一个新技能！,"Yeeeah, Junge! Du hast ein höheres Level erreicht! Wähle ein neues Merkmal für deine Spielfigur aus!",É isso aíííí!! Você subiu de nível! Selecione uma nova característica para seu personagem!,Ouaaaiiiiis gaaaars !! Niveau gagné ! Sélectionnez un nouveau Trait pour votre personnage !,Йи-и-ха! Ты получаешь новый уровень! Выбери новую особенность для своего персонажа!,우와와와!! 레벨업했네요! 캐릭터를 위한 새 특성을 선택하세요.
RewardsInstr,Choose a reward for your friendly streamer!,,Streamer refers to Twitch.tv players,¡Elije un premio para tu streamer amigo!,为主播选择一个奖励！,Wähle eine Belohnung für deinen netten Streamer aus!,Escolha uma recompensan para seu streamer amistoso!,Choisissez une récompense pour votre gentil streamer !,Выбери награду для стримера!,친절한 스트리머에 대한 보상을 선택하세요!
LevelFeelingsInstr,Which terrifying disaster should befall your poor streamer in the next level?,,,¿Que aterrorizante desastre elegirás para tu pobre streamer en el siguiente nivel?,在下一关中，可怜的主播又会遭受何种可怕灾难呢？,Welche schreckliche Katastrophe soll deinem armen Streamer im nächsten Level widerfahren?,Que desastre horrível deve assolar seu pobre streamer no próximo nível?,Quel horrible catastrophe devrait s'abattre sur votre pauvre streamer au prochain niveau ?,Какая напасть постигнет бедного стримера на следующем уровне?,다음 레벨에서 어떤 무서운 재난이 불쌍한 스트리머에게 일어나야 합니까?
AchievementsInstr,Doesn't it feel great to achieve things?,,,¿No se siente genial lograr cosas?,达成目标的感觉是不是很棒？,"Fühlt es sich nicht gut an, Dinge zu erreichen?",Não é maravilhoso conquistar coisas?,Alors ? On ne se sent pas bien quand on accomplit quelque chose ?,Новое достижение! Разве не круто?,어떤 것을 달성하면 기분 좋지 않나요?
GenieWishesInstr,"Make a wish!  But beware, you'll get exactly what you asked for!",,,¡Pide un deseo! ¡Cuidado que obtendrás exactamente lo que pidas!,许个愿！但要注意，你的梦想会成真，而且丝毫不差！,"Wünsch dir was! Aber sei vorsichtig, du bekommst genau das, was du dir gewünscht hast!","Faça um pedido! Mas cuidado, você receberá exatamente o que pediu!",Faites un vœux ! Mais attention : vous allez recevoir exactement ce que vous avez demandé !,"Загадай желание! Но подумай хорошенько, ты получишь именно то, что загадаешь!","소원을 비세요! 하지만 알아두세요. 정확히, 요청한 걸 얻게 될 거예요!"
SetSeedInstr,"What's a seed, you ask?  Think of it like this: If you and a friend enter the same seed, you'll both get the same randomly generated game world.",,,"Te preguntarás qué es una semilla. Piénsalo así: si tú o un amigo ingresan la misma semilla, ambos obtendrán el mismo mundo de juego generado aleatoriamente.",种子是什么？打个比喻吧：如果你和一位好友进入同一个种子，那么随机生成的游戏世界也会相同。,"Du willst wissen, was ein Levelgenerator ist? Das kannst du dir so vorstellen: Gebt du und ein Freund denselben Levelgenerator ein, landet ihr in derselben zufällig generierten Spielwelt.","O que é um gerador, você me pergunta? Pense assim: Se você e um amigo inserirem o mesmo gerador, vocês dois obterão o mesmo mundo do jogo gerado aleatoriamente.","Vous vous demandez ce qu'est une série ? C'est assez simple : si vous et un ami intégrez la même série, vous vous retrouverez avec le même monde généré aléatoirement.","Что такое начальное число? Ну, скажем так: если в игре у тебя и твоего друга будет одинаковое начальное число, то и случайно сгенерированный мир у вас будет одинаковый.","어떤 시드를 원하세요? 다음과 같이 생각하세요. 친구가 동일한 시드를 입력하면, 두 분 모두가 임의로 생성된 동일한 게임 월드를 얻게 됩니다."
QuestSheetInstr1,View Mission Info,,,Ver información sobre la misión,查看任务信息,Missionsinfo anzeigen,Visualizar informação sobre a missão,Voir les informations de mission,Посмотреть описание задания,미션 정보 보기
QuestSheetInstr2,Show Icon Names,,,Mostrar nombres de íconos,显示图标名称,Symbolnamen anzeigen,Exibir nomes de ícones,Afficher les noms des icônes,Показать названия значков,아이콘 이름 표시
ScrollingInstr4,Accept,,,Aceptar,接受,Akzeptieren,Aceitar,Accepter,Принять,수락
ScrollingInstr5,Scroll page,,,Desplazar página,滚动页面,Seite scrollen,Deslizar página,Parcourir la page,Прокрутить страницу,페이지 스크롤
ScrollingInstr6,Scroll details,,,Desplazar detalles,滚动详细信息,Durch Einzelheiten scrollen,Deslizar detalhes,Parcourir les détails,Прокрутить описание,세부 정보 스크롤
Continue,Continue,,,Continuar,继续,Fortfahren,Continuar,Continuer,Продолжить,계속
SkipCutscene,Skip Cutscene,,,Saltear escena cinemática,跳过过场动画,Zwischensequenz überspringen,Pular cutscene,Passer la cinématique,Пропустить ролик,커트신 건너뛰기
SkipTutorial,Skip Tutorial,,,Saltar el Tutorial,跳过教程,Tutorial überspringen,Pular Tutorial,Passer le tutoriel,Пропустить обучение,튜토리얼 건너뛰기
PressStart,Press Start,,,Pulsa Comenzar,按下“开始”,Start drücken,Pressionar Iniciar,Appuyez sur Démarrer,Нажмите Старт,시작 누르기
ArcadeMode,Arcade Mode,,,Modo arcade,街机模式,Arcade-Modus,Modo de Arcade,Mode Arcade,Аркадный режим,아케이드 모드
ArcadeFreePlay,Free Play,,"""Free Play"" in this instance would be similar to an arcade game offering free play",Juego gratis,免费模式,Kostenlos spielen,Jogo Grátis,Jeu libre,Бесконечная игра,무료 플레이
Credits,Credits,,"As in ""arcade game credits""",Créditos,游戏币,Punkte,Créditos,Crédits,Титры,크레딧
ArcadeWait,Wait a moment...,,,Espera un momento...,稍等片刻...,Warte einen Moment...,Espere um momento...,Patientez un moment...,Подождите...,잠시 기다리세요...
ArcadeContinue,Continue?,,,¿Continuar?,继续？,Fortfahren?,Continuar?,Continuer ?,Продолжить?,계속하시겠어요?
Tutorial,Tutorial,,,Tutorial,教程,Tutorial,Tutorial,Tutoriel,Обучение,튜토리얼
Intro,Intro,,,Introducción,介绍,Intro,Introdução,Introdution,Интро,인트로
Floor,Floor,,,Planta,楼层,Abschnitt,Andar,Étage,Этаж,플로어
Floor1Name,Slums,,,Barrios marginales,贫民区,Slums,Favela,Bidonville,Трущобы,빈민가
Floor2Name,Industrial,,,Zona industrial,工业区,Industriegebiet,Industrial,Zone industrielle,Завод,산업
Floor3Name,Park,,,Parque,公园,Park,Parque,Parc,Парк,공원
Floor4Name,Downtown,,,Centro,商业区,Innenstadt,Centro da Cidade,Centre-ville,Деловой центр,다운타운
Floor5Name,Uptown,,,Barrio privilegiado,住宅区,Nobelviertel,Bairro Classe A,Quartiers chics,Пригород,업타운
Go,GO!,,,¡VAMOS!,出发！,LOS!,VAI!,C'EST PARTI !,ПОЕХАЛИ!,시작!
LeftClickTo,Left-Click to,,,Usa el botón izquierdo del ratón para,单击左键以,Klicke links zum,Clicar com o botão esquerdo para,Clic gauche pour,"Щелкни, чтобы",마우스 왼쪽 버튼 클릭으로
RightClickTo,Right-Click to,,,Usa el botón derecho del ratón para,单击右键以,Klicke rechts zum,Clique com o botão direito para,Clic droit pour,"Щелкни правой кнопкой мыши, чтобы",마우스 오른쪽 버튼 클릭으로
ClickTo,Click to,,,Haz clic para,单击,Klicke zum,Clicar para,Clic pour,"Щелкни, чтобы",클릭하여
TooltipEquipKey,Right-Click to Equip,,,Clic derecho para equipar,单击右键来装备,Klicke rechts zum Ausrüsten,Clique com o botão direito para Equipar,Clic droit pour équiper,"Щелкни правой кнопкой мыши, чтобы экипировать",마우스 오른쪽 버튼 클릭으로 장착
TooltipEquipJoy,Equip,,,Equipar,装备,Ausrüsten,Equipar,Équiper,Экипировать,장착
TooltipUnEquipKey,Right-Click to Unequip,,,Clic derecho para quitar,单击右键来取下,Klicke rechts zum Ausrüstung ablegen,Clique com o botão direito para Desequipar,Clic droit pour déséquiper,"Щелкни правой кнопкой мыши, чтобы снять",마우스 오른쪽 버튼 클릭으로 장착 해제
TooltipUnEquipJoy,Unequip,,,Quitar,取下,Ausrüstung ablegen,Desequipar,Déséquiper,Снять,장착 해제
TooltipUseKey,Right-Click to Use,,,Clic derecho para usar,单击右键使用,Klicke rechts zum Benutzen,Clique com o botão direito para usar,Clic droit pour utiliser,"Щелкни правой кнопкой мыши, чтобы использовать",마우스 오른쪽 버튼 클릭으로 사용
TooltipUseJoy,Use,,,Usar,使用,Benutzen,Usar,Utiliser,Использовать,사용
TooltipWeaponNoAmmo,Out of ammo!,,,¡Sin municiones!,弹药耗尽！,Keine Munition mehr!,Sem munição!,Plus de munitions !,Нет амуниции!,탄약 부족!
TooltipWeaponRepairs,Needs repairs!,,,¡Necesita reparaciones!,需要修理！,Muss repariert werden!,Precisa de reparos!,Besoin de réparation !,Нужно починить!,수리 필요!
TooltipItemRepairs,Needs repairs!,,,¡Necesita reparaciones!,需要修理！,Muss repariert werden!,Precisa de reparos!,Besoin de réparation !,Нужно починить!,수리 필요!
TooltipCombineKey,Right-Click to Combine,,,Haz clic con el botón derecho del ratón para combinar,单击右键合成,Klicke rechts zum Kombinieren,Clique com o botão direito para Combinar,Clic droit pour combiner,"Щелкни правой кнопкой мыши, чтобы объединить",마우스 오른쪽 버튼 클릭으로 결합
TooltipCombineKey2,Left-Click to Combine Items,,,Haz clic con el botón izquierdo del ratón para combinar elementos,单击左键合成道具,Klicke links zum Kombinieren von Gegenständen,Clique com o botão esquerdo para Combinar Itens,Clic gauche pour combiner des objets,"Щелкни левой кнопкой мыши, чтобы объединить предметы",마우스 왼쪽 버튼 클릭으로 아이템 결합
TooltipCombineJoy,Combine,,,Combinar,合成,Kombinieren,Combinar,Combiner,Объединить,결합
TooltipTakeKey,Click to Take,,,Haz clic para tomarla,单击捡起,Klicken zum Nehmen,Clicar para tomar,Clic pour prendre,"Щелкни, чтобы взять",클릭하여 가져오기
TooltipTakeJoy,Take,,,Tomar,捡起,Nehmen,Tomar,Prendre,Взять,가져오기
TooltipBuyKey,Click to Purchase,,,Haz clic para comprar,单击购买,Klicken zum Kaufen,Clicar para Comprar,Clic pour acheter,"Щелкни, чтобы купить",클릭하여 구매
TooltipBuyJoy,Purchase,,,Comprar,购买,Kaufen,Comprar,Acheter,Купить,구매
Health,Health,,,Salud,生命值,Gesundheit,Energia,Santé,Здоровье,헬스
Level,Level,,"Referring to skill level, not scene",Nivel,等级,Level,Nível,Niveau,Уровень,레벨
SkillPoints,XP,,,XP,技能点,Erfahrung,XP,PX,Опыт,XP
Equip,Equip,,,Equipar,装备,Ausrüsten,Equipar,Équiper,Экипировать,장착
Unequip,Unequip,,,Quitar,取下,Ausrüstung ablegen,Desequipar,Déséquiper,Снять,장착 해제
Use,Use,,,Usar,使用,Benutzen,Usar,Utiliser,Использовать,사용
NoUse, - ,,,-,-,0,-,-,-,-
Drop,Drop,,,Soltar,丢弃,Fallen lassen,Soltar,Lâcher,Выбросить,드롭
Throw,Throw,,,Arrojar,投掷,Werfen,Lançar,Lancer,Бросить,던지기
Combine,Combine,,Combine two items together,Combinar,合成,Kombinieren,Combinar,Combiner,Объединить,결합
Close,Close,,,Cerrar,关闭,Schließen,Fechar,Fermer,Закрыть,닫기
TakeAll,Take All,,,Tomar todo,全部捡起,Alle nehmen,Pegue Tudo,Tout prendre,Взять все,모두 가져오기
On,On,,,Encendido,开,Ein,Ligado,Activé,Вкл.,켜기
Off,Off,,,Apagado,关,Aus,Desligado,Désactivé,Выкл.,끄기
Full,Full,,Two-player mode where the screen does not split in half when characters get too far apart,Completa,全屏,Vollbild,Cheia,Complet,Во весь экран,전체
Split,Split,,Two-player mode where the screen is always split in half,Partida,分屏,Teilen,Dividida,Partagé,Сплит-скрин,분할
FullAndSplit,Full / Split,,Two-player mode where the screen splits in half when players get far apart from each other,Completa/Partida,全屏/分屏,Vollbild/Teilen,Cheia/Dividida,Complet / Partagé,Во весь экран / Сплит,전체 / 분할
Medium,Medium,,,Mediano,中,Mittel,Médio,Moyen,Средне,중간
None,None,,,Ninguno,无,Keine,Nenhum,Aucun,Нет,없음
High,High,,,Alto,高,Hoch,Alto,Haut,Высокий,높음
Low,Low,,,Bajo,低,Niedrig,Baixo,Bas,Низкий,낮음
Xbox,Xbox,,,Xbox,Xbox,Xbox,Xbox,Xbox,Xbox,Xbox
Xbox360,Xbox 360,,,Xbox 360,Xbox 360,Xbox 360,Xbox 360,Xbox 360,Xbox 360,Xbox 360
XboxOne,Xbox One,,,Xbox One,Xbox One,Xbox One,Xbox One,Xbox One,Xbox One,Xbox One
PlayStation,PlayStation,,,PlayStation,PlayStation,PlayStation,PlayStation,PlayStation,PlayStation,PlayStation
NintendoSwitch,Switch,,,Switch,Switch,Switch,Switch,Switch,Switch,Switch
Recommended,Default,,,Por defecto,默认,Standard,Padrão,Par défaut,По умолчанию,기본
Slow,Slow,,,Lento,慢,Langsam,Lento,Lent,Медленно,느림
Normal,Normal,,,Normal,正常,Normal,Normal,Normal,Нормально,보통
Fast,Fast,,,Rápido,快,Schnell,Rápido,Rapide,Быстро,빠름
Attack,Attack,,,Ataque,攻击,Angreifen,Atacar,Attaquer,Атаковать,공격
Cancel,Cancel,,,Cancelar,取消,Abbrechen,Cancelar,Annuler,Отмена,취소
Up,Up,,,Arriba,上,Hoch,Para cima,Haut,Вверх,위로
Down,Down,,,Abajo,下,Runter,Para baixo,Bas,Вниз,아래로
Left,Left,,,Izquierda,左,Links,Esquerda,Gauche,Влево,왼쪽
Right,Right,,,Derecha,右,Rechts,Direita,Droite,Вправо,오른쪽
Interact,Interact,,,Interactuar,互动,Interagieren,Interagir,Interagir,Взаимодействовать,상호 작용
UseHealth,Use Health Item,,,Usar artículo de salud,使用生命值道具,Gesundheitsgegenstand benutzen,Usar item de energia,Utiliser un objet de soin,Использовать лечебный предмет,헬스 아이템 사용
Inventory,Inventory,,,Inventario,物品栏,Inventar,Inventário,Inventaire,Инвентарь,인벤토리
Quests,Missions,,,Misiones,任务,Missionen,Missões,Missions,Задания,미션
StatsKey,Stats,,,Estadísticas,属性,Spielerstatistik,Estatísticas,Statistiques,Характеристики,통계
Item1,Select Item 1,,Use items at the bottom-left corner of the screen,Seleccionar artículo 1,选择道具 1,Gegenstand 1 auswählen,Selecionar Item 1,Sélectionner l'objet 1,Выбрать предмет 1,아이템 1 선택
Item2,Select Item 2,,,Seleccionar artículo 2,选择道具 2,Gegenstand 2 auswählen,Selecionar Item 2,Sélectionner l'objet 2,Выбрать предмет 2,아이템 2 선택
Item3,Select Item 3,,,Seleccionar artículo 3,选择道具 3,Gegenstand 3 auswählen,Selecionar Item 3,Sélectionner l'objet 3,Выбрать предмет 3,아이템 3 선택
Item4,Select Item 4,,,Seleccionar artículo 4,选择道具 4,Gegenstand 4 auswählen,Selecionar Item 4,Sélectionner l'objet 4,Выбрать предмет 4,아이템 4 선택
Item5,Select Item 5,,,Seleccionar artículo 5,选择道具 5,Gegenstand 5 auswählen,Selecionar Item 5,Sélectionner l'objet 5,Выбрать предмет 5,아이템 5 선택
SelectNext,Select Next Weapon,,,Seleccionar próxima arma,选择下一件武器,Nächste Waffe auswählen,Selecionar próxima arma,Sélectionner l'arme suivante,Выбрать следующее оружие,다음 무기 선택
SelectPrev,Select Previous Weapon,,,Seleccionar el arma anterior,选择上一件武器,Vorherige Waffe auswählen,Selecionar arma anterior,Sélectionner l'arme précédente,Выбрать предыдущее оружие,이전 무기 선택
SelectUp,Select Up Item,,,Seleccionar artículo de arriba,选择上面的道具,Gegenstand oben auswählen,Selecionar item de cima,Sélectionner l'objet du dessus,Выбрать верхний предмет,위로 아이템 선택
SelectDown,Select Down Item,,,Seleccionar artículo de abajo,选择下面的道具,Gegenstand unten auswählen,Selecionar item de baixo,Sélectionner l'objet du dessous,Выбрать нижний предмет,아래로 아이템 선택
SelectLeft,Select Left Item,,,Seleccionar artículo izquierdo,选择左边的道具,Linken Gegenstand auswählen,Selecionar item da esquerda,Sélectionner l'objet de gauche,Выбрать левый предмет,왼쪽 아이템 선택
SelectRight,Select Right Item,,,Seleccionar artículo derecho,选择右边的道具,Rechten Gegenstand auswählen,Selecionar item da direita,Sélectionner l'objet de droite,Выбрать правый предмет,오른쪽 아이템 선택
Menu,Main Menu,,,Menú principal,主菜单,Hauptmenü,Menu Principal,Menu principal,Главное меню,기본 메뉴
KeyAttack,Attack,,,Atacar,攻击,Angreifen,Atacar,Attaquer,Атаковать,공격
KeyCancel,Cancel,,,Cancelar,取消,Abbrechen,Cancelar,Annuler,Отмена,취소
KeyUp,Up,,,Arriba,上,Hoch,Para cima,Haut,Вверх,위로
