STRING_ID,English,Translation,Description,Spanish,Chinese,German,Brazilian,French,Russian,Korean
D_EveryoneHatesYou,"Most people start off hostile towards you, but also have much lower health.",,,"La mayoría de las personas comenzarán más hostiles contigo, pero también tienen mucha menos salud.",大多数人在游戏开始时就对你充满敌意，但他们的生命值也低得多。,"Die meisten Leute stehen dir zunächst feindlich gegenüber, haben aber auch viel weniger Gesundheit.","A maioria das pessoas começam hostis com você, mas também com muito menos energia.","La plupart des habitants seront directement hostiles vis à vis de vous, mais auront bien moins de santé.","Большинство сразу же враждебны по отношению к тебе, но у них меньше здоровья.","대부분의 사람들이 당신에게 적대적으로 시작하지만, 훨씬 더 낮은 헬스 상태입니다."
D_TimeLimit,"Complete the levels within 2:15 plus 45 seconds per required mission, or you're dead!",,,"¡Completa los niveles en 2:15 más 45 segundos por misión requerida, ¡o estás muerto!",对于每个所需的任务，在 2:15 加上 45 秒内通关，否则你会死亡！,Schließe die Level in 2:15 Minuten plus 45 Sekunden pro erforderlicher Mission ab oder du bist tot!,Conclua os níveis em 2:15 mais 45 segundos por missão necessária ou você está morto!,"Terminez les niveaux en 2:15 plus 45 secondes par mission requise, ou vous êtes mort !",Проходи уровни за 2:15 плюс 45 секунд на каждое обязательное задание или умрешь!,필수 임무당 2:15 + 45초 내에 레벨을 완료하십시오. 그렇지 않으면 죽습니다!
D_TimeLimit2,"Complete the levels within 0:45 plus 45 seconds per required mission, or you're dead!",,,"¡Completa los niveles en 0:45 más 45 segundos por misión requerida, ¡o estás muerto!",对于每个所需的任务，在 0:45 加上 45 秒内通关，否则你会死亡！,Schließe die Level in 0:45 Minuten plus 45 Sekunden pro erforderlicher Mission ab oder du bist tot!,Conclua os níveis em 0:45 mais 45 segundos por missão necessária ou você está morto!,"Terminez les niveaux en 0:45 plus 45 secondes par mission requise, ou vous êtes mort !",Проходи уровни за 0:45 плюс 45 секунд на каждое обязательное задание или умрешь!,필수 임무당 0:45 + 45초 내에 레벨을 완료하십시오. 그렇지 않으면 죽습니다!
D_TimeLimitQuestsGiveMoreTime,"Start the game with limited time, but gain more time by completing missions.",,,Inicia el juego con tiempo limitado y gana más tiempo al completar misiones.,开始游戏时时间有限，不过可以通过完成任务赢得更多时间。,"Du beginnst das Spiel mit begrenzter Zeit, aber du erhältst mehr Zeit durch das Ausführen von Missionen.","Comece o jogo com tempo limitado, mas ganhe mais tempo concluindo missões.","Démarrez la partie en temps limité, mais gagnez plus de temps à chaque mission accomplie.","Небольшой запас времени в начале уровня, который пополняется за выполнение миссий.","제한된 시간으로 게임을 시작하지만, 미션을 완료하면 더 많은 시간을 얻게 됩니다."
D_SpeedUp,The game plays at 1.3 times the normal speed.,,,"La velocidad de juego es 1,3 veces la normal.",游戏将以正常速度的 1.3 倍进行。,"Das Spiel läuft 1,3-mal so schnell wie normal.","A velocidade do jogo é 1,3 vezes mais rápida que o normal.","Le jeu est 1,3 fois plus rapide que d'habitude.","Все в игре происходит в 1,3 раза быстрее.",이 게임은 정상 속도의 1.3배로 플레이됩니다.
D_NoLevelFeelings,Disasters don't appear in levels.,,,Las catástrofes no aparecen en los niveles.,关卡中不会出现灾难。,Katastrophen treten in Levels nicht ein.,Desastres não aparecem em níveis.,Les catastrophes n'apparaissent pas.,На уровне не случаются неприятности.,재난이 레벨에 나타나지 않습니다.
D_OnlyMoneyRewards,"Player only receives money as a mission reward, but shops sell reward items.",,,"El jugador sólo recibe dinero como recompensa de una misión, pero las tiendas venden artículos de recompensa.",任务只会奖励金钱，不过商店会出售奖励道具。,"Der Spieler erhält als Belohnung für eine Mission nur Geld, doch Läden verkaufen Belohnungsgegenstände.","O jogador só recebe dinheiro como uma recompensa da missão, mas as lojas vendem itens de recompensa.","Les joueurs ne reçoivent que de l'argent en récompense de mission, mais les boutiques vendent des objets de récompense.","Игрок получает в награду за миссии только деньги, но в магазинах продаются наградные предметы.","플레이어만 미션 보상으로 돈을 받지만, 숍에서 보상 아이템을 판매합니다."
D_NewCharacterEveryLevel,Your character class changes randomly at the start of each level.,,,Tu clase de personaje cambia al azar al comienzo de cada nivel.,你的角色职业会在每个关卡开始时随机改动。,Deine Spielfigurklasse ändert sich willkürlich zu Beginn eines jeden Levels.,A classe do seu personagem é alterada aleatoriamente no início de cada nível.,La classe de votre personnage change aléatoirement au début de chaque niveau.,Класс твоего персонажа меняется случайным образом в начале каждого уровня.,캐릭터 클래스가 각 레벨 시작 시 임의로 변경됩니다.
D_Sandbox,"Also known as 'Cheat Mode'.  Start the game with an item that gives you access to any Reward Item that you've unlocked.  Also, no need to do missions to pass levels.  Also, you can't unlock things.",,,"También conocido como ""Modo trampa"". Comienza el juego con un objeto que te da acceso a cualquier objeto de recompensa que hayas desbloqueado. Además, no necesitas completar las misiones para pasar los niveles. Por otra parte, no puedes desbloquear cosas.",也称为“作弊模式”。游戏开始时你会获得一个道具，该道具能让你使用所有已解锁的奖励道具。此外，无需完成任务即可通关。你还无法解锁成就和其他可解锁物品。,"Auch bekannt als ‚Schummelmodus‘. Beginne das Spiel mit einem Gegenstand, der dir Zugriff auf alle beliebigen Belohnungsgegenstände gewährt, die du freigeschaltet hast. Außerdem musst du keine Missionen erfüllen, um Level zu meistern. Und du kannst keine Gegenstände freischalten.","Também conhecido como ""Modo de Trapaça"". Comece o jogo com um item que lhe dê acesso a qualquer Item de Recompensa que você tenha desbloqueado. Também, não é necessário realizar missões para passar de níveis. Além disso, você também não pode desbloquear coisas.","Aussi connu sous le nom de 'Mode triche'. Démarrez la partie avec un objet qui vous donne accès à n'importe quelle récompense que vous avez débloquée. Aussi, plus besoin de faire les missions pour passer les niveaux. Et puis, aussi, vous ne débloquez plus rien.","Режим «с читами». Ты начинаешь игру с предметом, дающим любые наградные предметы, которые тебе уже доступны. И тебе не нужно выполнять задания, чтобы пройти уровень. Но ты не можешь получать достижения и открывать новые предметы.","'치트 모드'. 잠금 해제한 보상 아이템에 액세스할 수 있는 아이템으로 게임을 시작합니다. 레벨을 통과하기 위해 임무를 완료할 필요가 없으며, 레벨을 잠금 해제할 수 없습니다."
D_Endless,The game doesn't end when you finish all the levels.,,,El juego no termina cuando se agota el Contenido de acceso temprano.,游戏不会在“抢先体验”内容体验完毕后结束。,"Das Spiel endet nicht, wenn der Early-Access-Inhalt zu Ende ist.",O jogo não termina quando o conteúdo de Acesso Antecipado acaba.,La partie ne s'arrête pas quand le contenu de l'accès anticipé est terminé.,"Игра не заканчивается, когда заканчивается доступный в раннем доступе контент.",이 게임은 초기 액세스 콘텐츠가 떨어질 때 끝나지 않습니다.
D_CreateAMutator,Create your own mutators -- coming soon!,,,Crea tus propio modificador. ¡Muy pronto!,创造你自己的突变 - 即将推出！,Erschaffe deine eigenen Mutatoren -- demnächst verfügbar!,Crie seu próprio modificador -- em breve!,Créez vos propres mutateurs. Bientôt !,Создавай свои мутаторы — скоро!,자신만의 돌연변이 만들기 -- 곧 출시 예정!
,,,,,,,,,,
CompleteAFloor,Adapting to City Life,,,Adaptarse a la vida de la ciudad,适应城市生活,Anpassen ans Stadtleben,Adaptando-se à Vida na Cidade,Adaptation à la vie citadine,Адаптация к городской среде,도시 생활에 적응
D_CompleteAFloor,Complete Any Floor,,,Completa cualquier planta,完成任意楼层,Beliebigen Abschnitt abschließen,Concluir Qualquer Andar,Terminez n'importe quel étage,Пройди любой этаж,플로어 완료
CompleteLevel1,Savior of the Slums,,,Salvador de los Barrios Marginales,贫民区的救世主,Retter der Slums,Salvador das Favelas,Sauveur des bidonvilles,Спасение трущоб,빈민가의 구세주
D_CompleteLevel1,Complete Slums,,,Completa los barrios marginales,完成贫民区,Schließe die Slums ab,Concluir Favelas,Terminez les bidonvilles,Пройди Трущобы,빈민가 완료
CompleteLevel2,Industrial Idol,,,Ídolo industrial,工业大亨,Industrieidol,Ídolo Industrial,Idole industrielle,Индустриализация,산업 아이돌
D_CompleteLevel2,Complete Industrial,,,Completa la zona industrial,完成工业区,Schließe das Industriegebiet ab,Concluir Área Industrial,Terminez la zone industrielle,Пройди Завод,산업 완료
CompleteLevel3,Park President,,,Presidente del Parque,公园总裁,Parkpräsident,Presidente do Parque,Président du parc,Директор парка,공원 대통령
D_CompleteLevel3,Complete Park,,,Completa el parque,完成公园区,Schließe den Park ab,Concluir Parque,Terminez le parc,Пройди Парк,공원 완료
CompleteLevel4,Downtown Diva,,,Diva del centro,商业区天后,Innenstadtdiva,Diva do Centro da Cidade,Diva du centre,Акула бизнеса,다운타운 디바
D_CompleteLevel4,Complete Downtown,,,Completa el centro,完成商业区,Schließe die Innenstadt ab,Concluir Centro da Cidade,Terminez le centre-ville,Пройди Деловой центр,다운타운 완료
CompleteLevel5,Uptown Upper-Cruster,,,Rico del Barrio Privilegiado,上流社会,Privilegierter Bewohner des Nobelviertels,Nata da Sociedade do Bairro Classe A,Crème des quartiers chics,Пригородная элита,업타운 최상류 계급의 사람
D_CompleteLevel5,Complete Uptown,,,Completa el barrio privilegiado,完成住宅区,Schließe das Nobelviertel ab,Concluir Bairro Classe A,Terminez les quartiers chics,Пройди Пригород,업타운 완료
UnlockInvestmentBanker,,,,,,,,,,
UnlockWerewolf,,,,,,,,,,
UnlockBartender,,,,,,,,,,
UnlockAssassin,,,,,,,,,,
UnlockWrestler,,,,,,,,,,
UnlockCop,,,,,,,,,,
UnlockShopkeeper,,,,,,,,,,
UnlockGangbangerB,,,,,,,,,,
UnlockComedian,,,,,,,,,,
UnlockZombie,,,,,,,,,,
UnlockEveryoneHatesYou,,,,,,,,,,
UnlockTimeLimit2,,,,,,,,,,
UnlockSpeedUp,,,,,,,,,,
UnlockOnlyMoneyRewards,,,,,,,,,,
UnlockFloor2,,,,,,,,,,
UnlockFloor3,,,,,,,,,,
UnlockFloor4,,,,,,,,,,
UnlockFloor5,,,,,,,,,,
,,,,,,,,,,
Unlocked,Unlocked,,,Desbloqueado,已解锁,Freigeschaltet,Desbloqueado,Déverrouillé,Открыто,잠금 해제됨
CompleteGame,Complete Game,,,Completa el juego,完成游戏,Spiel abschließen,Concluir Jogo,Terminez le jeu,Пройди игру,게임 완료
CompleteGameWith,Complete Game With,,"Meaning complete game with, for example, a certain character",Completa el juego con,完成游戏，,Spiel abschließen mit,Concluir Jogo Com,Terminez le jeu avec,Пройди игру за,다음으로 게임 완료
CompleteAllAvailableFloors,Complete All Available Floors,,,Completa todas las plantas disponibles,完成所有可用楼层,Alle verfügbaren Abschnitte abschließen,Concluir Todas as Áreas Disponíveis,Terminez tous les étages disponibles,Пройди все доступные уровни,모든 사용 가능한 플로어 완료
CompleteAnyFloor,Complete Any Floor,,,Completa cualquier planta,完成任意楼层,Beliebigen Abschnitt abschließen,Concluir Qualquer Andar,Terminez n'importe quel étage,Пройди любой уровень,플로어 완료
CompleteLevel,Complete,,"As in ""to get this reward, you must complete a certain level""",Completa,完成,Abschließen,Concluir,Terminer,Пройди,완료
Spend,Spend,,,Gastar,花费,Ausgeben,Gastar,Dépenser,Потратить,소비
Find,Find,,"As in ""find a certain item""",Encontrar,寻找,Finden,Encontrar,Trouver,Найди,찾기
ReachSkillLevel,Reach Skill Level,,,Alcanzar el nivel de habilidad,升到技能等级,Erreiche Fähigkeitslevel,Atingir o Nível da Habilidade,Atteignez le niveau de compétence,Достичь уровня:,기술 레벨에 도달
ReachFloor,Reach Floor,,,Alcanzar la planta,抵达楼层,Erreiche Abschnitt,Chegar ao Andar,Atteignez l'étage,Дойди до этажа,플로어에 도달
Achieve,Achieve,,,Lograr,实现,Erreiche,Conquistar,Accomplir,Достичь,달성
Characters,Characters,,,Personajes,角色,Spielfiguren,Personagens,Personnages,Персонажи,캐릭터
KillingEveryone,Killing Everyone,,,Matando a todos,杀死所有人,Alle töten,Matando todo mundo,Tuer tout le monde,Убив всех,모두 죽이기
WithoutKillingAnyone,Without Killing Anyone,,,Sin matar a nadie,不杀死任何人,Ohne jemanden zu töten,Sem Matar Ninguém,Sans tuer personne,Не убив никого,어느 누구도 죽이지 않고
WithoutAlertingAnyone,Without Alerting Anyone,,,Sin alertar a nadie,不惊动任何人,Ohne jemanden zu alarmieren,Sem Alertar Ninguém,Sans alerter personne,Никого не встревожив,어느 누구에게도 알리지 않고
WithinTimeLimit,Within Time Limit,,,Antes del límite de tiempo,在限定时间内,Ohne Zeitlimit,No Tempo Limite,Dans le temps imparti,За отведенное время,시간 제한 이내
UsingOnlyFists,Using Only Fists,,,Usando solamente los puños,仅使用拳头,Nur mit den Fäusten,Usando Apenas os Punhos,En n'utilisant que les poings,Используя только кулаки,주먹만을 사용
WithoutTakingDamage,Without Taking Damage,,,Sin hacer daño,不受到任何伤害,Ohne Schaden zu nehmen,Sem Sofre Dano,Sans subir de dégât,Не получив урона,데미지를 받지 않고
TryAllChallenges,Open to New Things,,,Abierto a nuevas cosas,愿意接受新鲜事物,Offen für Neues,Abrir Novas Coisas,Ouvert aux nouvelles expériences,Готовность ко всему новому,새로운 것 열기
D_TryAllChallenges,Play a game with every Challenge,,,Jugar una partida con todos los desafíos,尝试游戏中的全部挑战,Spiel ein Spiel mit allen Herausforderungen,Jogue uma partida com todos os Desafios,Faites une partie avec chaque défi,Попробуй сыграть во все испытания,모든 도전과 함께 게임 플레이
CompleteTutorial,Didn't Skip the Tutorial,,,No salteé el Tutorial,未跳过教程,Tutorial nicht übersprungen,Não Pulou o Tutorial,N'a pas passé le tutoriel,Не прогуливай уроки,튜토리얼 건너뛰지 마세요.
D_CompleteTutorial,Complete Tutorial,,,Completa el Tutorial,完成教程,Schließe das Tutorial ab,Concluir Tutorial,Terminez le tutoriel,Пройди обучение,튜토리얼 완료
KilledNoOneLevel,Functioning Human Being,,,Ser humano en actividad,正常人,Funktionierender Mensch,Ser Humano Em Funcionamento,Être humain fonctionnel,Нормальный человек,작동 인간
D_KilledNoOneLevel,Complete a whole entire level without killing anyone,,,Completa un nivel completo sin matar a nadie,不杀人完成整个关卡,"Schließe ein ganzes Level ab, ohne irgendjemanden zu töten",Concluir todo um nível sem matar ninguém,Terminez tout un niveau sans tuer personne,Пройди целый уровень никого не убив,누구도 죽이지 않고 전체 레벨 완료
KilledEveryoneLevel,Quiet Little Town,,,Pueblito tranquilo,安静的小镇,Ruhige Kleinstadt,Cidadezinha Tranquila,Petite ville tranquille,Тихий захолустный городок,조용한 작은 마을
D_KilledEveryoneLevel,Complete a level leaving no one alive,,,Completa un nivel sin dejar personas vivas,完成一关并杀死所有人,Schließe ein Level ab und lasse niemanden am Leben,Concluir um nível sem deixar ninguém vivo,Terminez un niveau sans laisser personne en vie,Пройди уровень не оставив никого в живых,아무도 살아남지 못하는 레벨 완료
KillGhost,Killer of the Dead,,,Asesino de Muertos,亡灵杀手,Mörder der Toten,Assassino de Mortos,Tueur de la mort,Охотник на мертвецов,죽음의 킬러
D_KillGhost,Murder a Ghost,,,Asesinar a un fantasma,谋杀一个幽灵,Bringe einen Geist um,Matar um Fantasma,Tuez un fantôme,Убей призрака,유령 살인
,,,,,,,,,,
Prerequisites,Requirements,,Prerequisites tasks that must be completed to unlock an item,Requisitos,要求,Voraussetzungen,Requisitos,Prérequis,Требования,요구 사항
ClickForRequirements,Click For Requirements,,,Haz clic para ver los requisitos,单击查看要求,Für Voraussetzungen klicken,Clique para visualizar os Requisitos,Cliquez pour connaître les prérequis,"Щелкни, чтобы открыть требования",요구 사항을 보려면 클릭
RocketLaunchers,Rocket Chaos,,,Caos de cohetes,火箭筒暴乱,Raketenchaos,Caos de Foguetes,Symphonie de la destruction à la roquette,Ракетный хаос,로켓 카오스
D_RocketLaunchers,Everyone gets a rocket launcher!,,,¡Lanzacohetes para todos!,每人都能获得一个火箭筒！,Jeder bekommt einen Raketenwerfer!,Todos recebem um lançador de foguetes!,Tout le monde a son lance-roquette !,Всем по ракетнице!,모두가 로켓 발사포를 얻습니다!
RogueVision,Rogue Vision,,,Visión de Rebelde,地痞的视野,Ganovensicht,Visão Rebelde,Vision rogue,Тунельное зрение,악당 비전
D_RogueVision,Objects not within your character's line-of-sight are hidden from view.,,,Los objetos que no están en la línea de vista de tu personaje quedan ocultos.,在角色视野范围之外的物体将不会显示。,"Objekte, die sich nicht im Sichtfeld deiner Figur befinden, werden ausgeblendet.",Objetos que estejam fora da linha de vista de seu personagem são escondidos da vista.,Les objets qui ne sont pas dans le champ de vision de votre personnage ne sont pas visibles.,Объекты вне поля зрения твоего персонажа не отображаются.,캐릭터의 시야에 없는 대상물은 보기 항목에 표시되지 않습니다.
Unlock,Unlock,,,Desbloquear,解锁,Freischalten,Desbloquear,Déverrouiller,Получить,잠금 해제
InSingleGame,In a Single Game,,,En un solo juego,在一次游戏中,In einem einzigen Spiel,Em um Único Jogo,Dans une seule partie,За одну игру,싱글 게임에서
FreeFromCage,Free from Cage,,,Liberar de la jaula,从笼子里放出来,Aus dem Käfig befreien,Livre da Jaula,Sorti de cage,Клетка свободной планировки,우리에서 풀어주기
Destroy,Destroy,,,Destruir,摧毁,Zerstören,Destruir,Détruire,Уничтожить,파괴
Purchase,Purchase,,,Comprar,购买,Kaufen,Comprar,Acheter,Купить,구매
Kill,Kill,,,Matar,杀死,Töten,Matar,Tuer,Убить,죽이기
Drink,Drink,,,Beber,饮下,Trinken,Beber,Boire,Выпить,음주
Poison,Poison,,,Veneno,下毒,Vergiften,Envenenar,Poison,Отравить,독살
CurrentProgress,Current Progress,,,Progreso actual,当前进度,Aktueller Fortschritt,Progresso Atual,Progression actuelle,Текущий прогресс,현재 진행률
KillYourself,Kill Yourself,,,Matarte a ti mismo,杀死你自己,Töte dich selbst,Matar-se,Tuez-vous vous-même,Убить себя,자살
KillWith,Kill Someone with,,,Matar a alguien con,杀人方式,Töte jemanden mit,Matar Alguém com,Tuez quelqu'un avec,Убить кого-нибудь с помощью,랜덤 죽이기(도구 사용)
KillWithYourselfIncluded,Kill Someone (yourself included) with,,,Matar a alguien (tú incluido) con,杀人（包括你自己）方式,Töte jemanden (dich selbst eingeschlossen) mit,Matar Alguém (incluindo você) com,Tuez quelqu'un (vous compris) avec,Убить кого-нибудь (можно и себя) с помощью,도구 사용하여 랜덤 죽이기(본인 포함)
MakeEveryoneHateYou,"Make everyone on a floor hate you, and complete the floor",,,Hacer que todos en un piso te odien y completar el piso,让这一层上的所有人都恨你，并完成这一层,"Sorge dafür, dass alle im Abschnitt dich hassen und schließe dann den Abschnitt ab","Faça com que todos em em um andar odeiem você, e conclua o andar","Faites vous haïr par tout l'étage, et terminez-le","Сделать так, чтобы все на этаже тебя возненавидели, а потом пройти этот этаж",플로어의 모두가 당신을 미워하게 만들고 플로어 완료
AlcoholicBeverages,Alcoholic Beverages,,,Bebidas alcohólicas,酒精饮料,Alkoholische Getränke,Bebidas Alcoólicas,Boissons alcoolisées,Алкогольные напитки,알콜 음료
WithoutKilling,Without Killing,,,Sin matar,不杀人,Ohne töten,Sem Matar,Sans tuer,Не убивая,살인하지 않고
WithoutAlerting,Without Alerting,,,Sin alertar,不惊动,Ohne zu alarmieren,Sem Alertar,Sans alerter,Никого не потревожив,경고 없이
CompleteAnyFloorWith,Complete Any Floor with,,,Completa cualquier planta con,使用下列角色通关任意楼层：,Schließen einen beliebigen Abschnitt ab mit,Concluir Qualquer Andar com,Terminez n'importe quel étage avec,Пройти любой этаж персонажем класса,플로어 완료 -
CompleteFloor1With,Complete Slums with,,,Completar los barrios marginales con,使用下列角色通关贫民区：,Schließe die Slums ab mit,Concluir Favela com,Terminez le bidonville avec,Пройти Трущобы персонажем класса,빈민가 완료 -
CompleteFloor2With,Complete Industrial with,,,Completar la zona industrial con,使用下列角色通关工业区：,Schließe das Industriegebiet ab mit,Concluir Área Industrial com,Terminez la zone industrielle avec,Пройти Завод персонажем класса,산업 완료 -
CompleteFloor3With,Complete Park with,,,Completar el parque con,使用下列角色通关公园区：,Schließe den Park ab mit,Concluir Parque com,Terminez le parc avec,Пройти Парк персонажем класса,공원 완료 -
CompleteFloor4With,Complete Downtown with,,,Completar el centro con,使用下列角色通关商业区：,Schließe die Innenstadt ab mit,Concluir Centro da Cidade com,Terminez le centre-ville avec,Пройти Деловой центр персонажем класса,다운타운 완료 -
CompleteFloor5With,Complete Uptown with,,,Completar el barrio privilegiado con,使用下列角色通关住宅区：,Schließe das Nobelviertel ab mit,Concluir Bairro Classe A com,Terminez les quartiers chics avec,Пройти Пригород персонажем класса,업타운 완료 -
CompleteFloor1,Complete Slums,,,Completa los barrios marginales,通关贫民区,Schließe die Slums ab,Concluir Favelas,Terminez le bidonville,Пройти Трущобы,빈민가 완료
CompleteFloor2,Complete Industrial,,,Completa la zona industrial,通关工业区,Schließe das Industriegebiet ab,Concluir Área Industrial,Terminez la zone industrielle,Пройти Завод,산업 완료
CompleteFloor3,Complete Park,,,Completa el parque,通关公园区,Schließe den Park ab,Concluir Parque,Terminez le parc,Пройти Парк,공원 완료
CompleteFloor4,Complete Downtown,,,Completa el centro,通关商业区,Schließe die Innenstadt ab,Concluir Centro da Cidade,Terminez le centre-ville,Пройди Деловой центр,다운타운 완료
CompleteFloor5,Complete Uptown,,,Completa el barrio privilegiado,通关住宅区,Schließe das Nobelviertel ab,Concluir Bairro Classe A,Terminez les quartiers chics,Пройди Пригород,업타운 완료
ClearAll,Clear All,,,Borrar Todo,全部清除,Alle löschen,Remover Todos,Réussissez tout,Убрать все,모두 지우기
D_ClearAll,Clear all Mutators that you've enabled,,,Borrar todos los modificadores que has habilitado,清除你启用的全部突变,"Alle Mutatoren löschen, die du aktiviert hast",Remover todos os modificadores que você havia ativado,Réussissez tous les Mutateurs que vous avez activé,Убрать все включенные мутаторы,활성화한 모든 돌연변이 정리
LevelFeelingsEveryLevel,Disasters Every Level,,,Desastres en todo los niveles,给每个关卡都加入灾难,Bei jedem Level eine Katastrophe,Desastres em Todos os Níveis,Catastrophes à tous les niveaux,Неприятности на каждом уровне,모든 레벨의 재난
D_LevelFeelingsEveryLevel,More disasters than you can shake a stick at.,,,Más desastres de los que te puedas imaginar.,灾难多得数不清。,Mehr als eine ganze Menge Katastrophen.,Mais desastres do que você consegue acertar com um galho.,Plus de catastrophes que ne peut en créer Hollywood.,"Столько неприятностей, что ты с ума сойдешь.",막대를 흔들 수 있는 것보다 더 많은 재난.
RealisticMode,"""Realistic"" Mode",,,"Modo ""Realista""",“现实”模式,„Realistischer“ Modus,"Modo ""Realista""","Mode ""réaliste""",«Реалистичный» режим,"""현실"" 모드"
D_RealisticMode,A (silly) approximation of real life in terms health and damage.,,,Una (tonta) aproximación a la vida real en términos de salud y daño.,从生命值和伤害角度而言，近似于现实生活。,Eine (alberne) Annäherung ans echte Leben in Bezug auf Gesundheit und Schaden.,Uma (boba) aproximação da vida real em termos de energia e dano.,Une (stupide) approximation de la vraie vie en termes de santé et dégâts.,Глупая попытка подражания реальности в плане запаса здоровья и урона.,헬스와 데미지 측면에서 실생활의 근사치
,,,,,,,,,,
