STRING_ID,English,Translation,Spanish,Chinese,German,Brazilian,French,Russian,Korean
Enraged_B,Rage,,Rabia,狂怒,Wut,Raiva,Rage,Гнев,분노
Fast,Fast,,Rápido,疾走,Schnell,Rápido,Rapide,Ускорение,빠름
FastLunge,Fast Lunge,,Embestida rápida,快速突刺,Schneller Überraschungsangriff,Ataque Rápido,Ruée rapide,Быстрый выпад,빠른 찌르기
FastMelee,Fast Melee,,Rápido ataque cuerpo a cuerpo,快速近战,Schneller Nahkampfangriff,Ataque Físico Rápido,Corps-à-corps rapide,Быстрый удар,빠른 근접 무기
FastMelee2,Fast Melee +,,Rápido ataque cuerpo a cuerpo +,快速近战 +,Schneller Nahkampfangriff +,Ataque Físico Rápido +,Corps-à-corps rapide +,Быстрый удар +,빠른 근접 무기 +
GoodThrower,Good Thrower,,Buen lanzador,出色的投手,Guter Werfer,Bom Lançador,Bon lanceur,Хороший бросок,우수한 방사기
GoodTrader,Shrewd Negotiator,,Negociador sagaz,砍价小能手,Raffinierter Verhandlungsführer,Negociador Astuto,Négociateur rusé,Навыки переговорщика,날카로운 협상가
GoodTrader2,Shrewd Negotiator +,,Negociador sagaz +,砍价小能手 +,Raffinierter Verhandlungsführer +,Negociador Astuto +,Négociateur rusé +,Навыки переговорщика +,날카로운 협상가 +
BadTrader,Sucker,,Imbécil,菜场白痴,Schlechter Händler,Otário,Pigeon,Сосунок,얼간이
GunKnockback,Gun Knockback,,Retroceso de arma,枪械击退,Waffenrückstoß,Recuo da Pistola,Recul de flingue,Отдача от выстрелов,총 반동
HearingBlocked,Hearing Blocked,,Con audición bloqueada,听力受阻,Gehör blockiert,Audição Bloqueada,Ouïe bloquée,Отсутствие слуха,청각 차단됨
IdentifyScience,Drug-a-lug,,Drogata,用药指南,Droge-auf-ex,Viciado em drogas,Encyclopédie à substances,Справочник лекарств,단숨에
IncreasedCritChance,Increased Crit Chance,,Mayor probabilidad de crítico,提高暴击率,Erhöhte Chance auf kritische Treffer,Chance de Ataque Crítico Aumentada,Chances de critique augmentées,Повышенный шанс крита,높아진 치명타 기회
IncreasedCritChance2,Increased Crit Chance +,,Mayor probabilidad de crítico +,提高暴击率 +,Erhöhte Chance auf kritische Treffer +,Chance de Ataque Crítico Aumentada +,Chances de critique augmentées +,Повышенный шанс крита +,높아진 치명타 기회 +
IncreaseAllStats,Increase All Stats,,Aumentar todas las estadísticas del jugador,属性增益,Erhöhung aller Spielerstatistiken,Aumentar Todos os Stats,Toutes les statistiques augmentées,Бонус к характеристикам,모든 통계 증가
DecreaseAllStats,Decrease All Stats,,Reduce todas las estadísticas,属性减益,Verringerung aller Spielerstatistiken,Diminuir Todos os Stats,Toutes les statistiques réduites,Штраф к характеристикам,모든 통계 감소
IgnoreLasers,Lasers Ignore You,,Los rayos láser te evitan,看不见我,Laser ignorieren dich,Os Lasers Ignoram Você,Les lasers vous ignorent,Лазеры вас не замечают,레이저가 당신을 무시합니다.
IncreaseStrength,Increase Melee,,Aumentar ataque cuerpo a cuerpo,近战提升,Nahkampfangriff erhöhen,Aumentar ataque físico,Augmenter Corps-à-corps,Бонус к ближнему бою,근접 공격 증가
IncreaseEndurance,Increase Endurance,,Aumentar la Resistencia,耐力增益,Ausdaueranstieg,Aumentar Resistencia,Endurance augmentée,Бонус к выносливости,지구력 증가
IncreaseAccuracy,Increase Firearms,,Aumentar armas de fuego,火器提升,Waffengenauigkeit erhöhen,Aumentar armas de fogo,Augmenter Armes à feu,Бонус к огнестрелу,화력 높이기
IncreaseSpeed,Increase Speed,,Aumentar la Velocidad,速度增益,Geschwindigkeitszunahme,Aumentar Velocidade,Vitesse augmentée,Бонус к скорости,속도 증가
DecreaseStrength,Decrease Melee,,Disminuir ataque cuerpo a cuerpo,近战降低,Nahkampfangriff verringern,Diminuir ataque físico,Baisser Corps-à-corps,Штраф к ближнему бою,근접 공격 감소
DecreaseEndurance,Decrease Endurance,,Disminuir la Resistencia,耐力减益,Ausdauerverlust,Diminua a Resistência,Endurance réduite,Штраф к выносливости,지구력 감소
DecreaseAccuracy,Decrease Firearms,,Disminuir armas de fuego,火器降低,Waffengenauigkeit verringern,Diminuir armas de fogo,Baisser Armes à feu,Штраф к огнестрелу,화력 낮추기
DecreaseSpeed,Decrease Speed,,Disminuir la Velocidad,速度减益,Geschwindigkeitsverlust,Diminuir Velocidade,Vitesse réduite,Штраф к скорости,속도 감소
Giant,Giant,,Gigante,巨人,Riese,Gigante,Géant,Гигант,거인
HatesGorilla,Specist,,Aborrecedor del Gorila,我恨动物,Gorillawahn,Especista,Espéciste,Ненависть к животным,동물 혐오자
HatesScientist,Scientist Slayer,,Aborrecedor del Científico,科学家杀手,Wissenschaftlerwahn,Caçador de Cientistas,Tueur de scientifiques,Охотник на ученых,과학자 살인자
HatesRivalGang,Turf Warrior,,Aborrecedor de la competencia,抢地盘,Straßenkämpfer,Disputador de Território,Guerrier territorial,Патриот,잔디 전사
Invincible,Invincible,,Invencible,无敌,Unbesiegbar,Invencível,Invincible,Неуязвимость,천하무적
Invisible,Invisible,,Invisible,隐身,Unsichtbar,Invisível,Invisible,Невидимость,보이지 않음
InvisibleLimited,Camouflage,,Camuflaje,伪装,Tarnung,Camuflagem,Camouflage,Камуфляж,위장막
InvisibleToCameras,Camera Shy,,Tímido ante las cámaras,不爱拍照,Kamerascheu,Timidez para Câmeras,Timide devant les caméras,Боязнь камер,사진 찍기를 싫어함
InvisibleToHumans,Invisible to Humans,,Invisible a los humanos,对人类隐身,Für Menschen unsichtbar,Invisível para Humanos,Invisible pour les humains,Невидимость для людей,인간에게 보이지 않음
InvisiblePermanent,Invisible,,Invisible,隐身,Unsichtbar,Invisível,Invisible,Невидимость,보이지 않음
KillerThrower,Killer Thrower,,Lanzador asesino,杀手飞镖,Tötungswerfer,Lançador Assassino,Tueur au lancer,Убийственный бросок,킬러 방사기
KnockbackLess,Tank-Like,,Como un tanque,肉山,Wie ein Panzer,Como um Tanque,Inamovible,Гора,탱크 같은
KnockbackMore,Skinny Nerdlinger,,Alfeñique flacucho,皮包骨,Schmächtiger kleiner Nerd,Nerd Magrelo,Crevette,Недовес,스키니 너드링거
LessDamageAligned,Less Aligned Damage,,Menos daño de los alineados,自己人不打自己人,Weniger Schaden bei Verbündeten,Menos Dano aos Aliados,Moins de dégâts aux associés,Сниженный урон по своим,관련된 데미지 적게
Likeable,Charismatic,,Carismático,魅力超凡,Charismatisch,Carismático,Charismatique,Харизма,카리스마
Likeable2,Charismatic +,,Carismático +,魅力超凡 +,Charismatisch +,Carismático +,Charismatique +,Харизма +,카리스마 +
Unlikeable,Malodorous,,Maloliente,臭气熏天,Übelriechend,Malcheiroso,Dégoûtant,Неприятная внешность,악취를 풍기는
LowCostJobs,Low-Cost Jobs,,Trabajos de bajo costo,低成本工作,Billige Arbeit,Trabalho de Baixo Custo,Petits boulots,Дешевые наемники,저비용 작업
LowCostJobs2,Low-Cost Jobs +,,Trabajos de bajo costo +,低成本工作 +,Billige Arbeit +,Trabalho de Baixo Custo +,Petits boulots +,Дешевые наемники +,저비용 작업 +
HighCostJobs,High-Cost Jobs,,Trabajos de alto costo,高成本工作,Teure Arbeit,Trabalho de Alto Custo,Gros salaires,Дорогие наемники,고비용 작업
NoCostJobs,No-Cost Jobs,,Trabajos sin costo,空手套白狼,Kostenlose Arbeit,Trabalho Sem Custo,Bénévolat,Бесплатные наемники,비용 없는 작업
MedicalProfessional,Medical Professional,,Médico profesional,医疗专家,Medizinische Fachkraft,Profissional Médico,Professionnel médical,Профессиональный врач,의료 전문가
MoreFollowers,Team Building Expert,,Experto en grupos,万人迷,Experte für Teambildung,Especialista em Construção de Equipe,Pro de l'esprit d'équipe,Эксперт по тимбилдингу,팀 빌딩 전문가
NoFollowers,Antisocial,,Antisocial,万人嫌,Unsozial,Antisocial,Antisocial,Антисоциальность,반사회적
NiceSmelling,Perfumorous,,Perfumado,香气迷人,Wohlriechend,Perfurmado,Parfumé,Приятный аромат,향기
Nicotine,Nicotine,,Nicotina,尼古丁,Nikotin,Nicotina,Nicotine,Никотин,니코틴
NoEffect,No Effect!,,¡Ningún efecto!,无效果！,Kein Effekt!,Sem Efeito!,Pas d'effet !,Нет эффекта!,효과 없음!
NumbToPain,Numb To Pain,,Insensible al dolor,痛到麻木,Schmerzunempfindlich,Insensível a Dor,Insensible à la douleur,Нечувствительность к боли,고통에 무감각
OnFire,On Fire,,Ardiente,烈焰焚身,Brennend,Em Chamas,En feu,Горит,불에 탐
Paralyzed,Paralyzed,,Paralizado,麻痹,Gelähmt,Paralizado,Paralysé,Паралич,마비됨
Pickpocket,Pickpocket,,Carterista,偷窃,Taschendieb,Batedor de Carteira,Pickpocket,Карманник,소매치기
Poisoned,Poisoned,,Envenenado,中毒,Vergiftet,Envenenado,Empoisonné,Отравление,독살됨
RegenerateHealth,Regenerate Health,,Regenerar salud,生命值重生,Gesundheitsregenerierung,Regenerar Energia,Régénération,Регенерация здоровья,헬스 재생성
RegenerateHealthWhenLow,Modern Warfarer,,Guerrero moderno,现代战士,Moderne Kriegsführung,Guerreiro Moderno,Danse avec la mort,Современные методы боя,현대 전사
RegenerateHealthWhenLow2,Modern Warfarer +,,Guerrero moderno +,现代战士 +,Moderne Kriegsführung +,Guerreiro Moderno +,Danse avec la mort +,Современные методы боя +,현대 전사 +
ResistDamageSmall,Resist Damage (Small),,Resistir daños (pequeños),伤害抗性（小）,Widerstand gegen Schaden (niedrig),Suporta Dano (Pequeno),Résistance aux dégâts (légère),Сопротивление урону (низкое),데미지(작음) 저지
ResistDamageMed,Resist Damage (Medium),,Resistir daños (medianos),伤害抗性（中）,Widerstand gegen Schaden (mittel),Suporta Dano (Médio),Résistance aux dégâts (moyenne),Сопротивление урону (среднее),데미지(보통) 저지
ResistDamageLarge,Resist Damage (Large),,Resistir daños (grandes),伤害抗性（大）,Widerstand gegen Schaden (hoch),Suporta Dano (Grande),Résistance aux dégâts (importante),Сопротивление урону (высокое),데미지(큼) 저지
ResistBullets,Resist Bullets,,Resistir balas,子弹抗性,Widerstand gegen Kugeln,Suporta Balas,Résistance aux balles,Сопротивление пулям,총알 저지
ResistBulletsSmall,Resist Bullets (Small),,Resistir balas (pequeñas),子弹抗性（小）,Widerstand gegen Kugeln (niedrig),Suporta Balas (Pequeno),Résistance aux balles (légère),Сопротивление пулям (низкое),총알(작음) 저지
ResistFire,Resist Fire,,Resistir fuego,火焰抗性,Widerstand gegen Feuer,Suporta Fogo,Résistance au feu,Сопротивление огню,화재 저지
ResistGas,Resist Gas,,Resistir gas,毒气抗性,Widerstand gegen Gas,Suporta Gás,Résistance aux gaz,Сопротивление газам,가스 저지
Resurrection,Resurrection,,Resurrección,复活,Auferstehung,Ressurreição,Résurrection,Воскрешение,부활
ScienceExpert,Science Expert,,Experto en ciencias,科学专家,Wissenschaftsexperte,Especialista em Ciência,Expert en sciences,Ученость,과학 전문가
Shrunk,Shrunk,,Encogido,小个子形态,Geschrumpft,Encolhido,Rétréci,Уменьшение,축소
Frozen,Frozen,,Congelado,冻结,Eingefroren,Congelado,Gelé,Заморозка,냉동
SleepKiller,Sleep Killer,,Asesino del sueño,睡眠杀手,Schlafmörder,Assassino de Sono,Tueur de rêves,Убийство во сне,수면 킬러
Slow,Slow,,Lento,减速,Langsam,Lento,Lent,Замедление,느림
StatusEffectsLonger,Longer Status Effects,,Efectos de estado más largos,延长状态效果,Längere Statuseffekte,Efeitos dos Estados Mais Longo,États particuliers prolongés,Продолжительные статусные эффекты,더 긴 상태 효과
StatusEffectsLonger2,Longer Status Effects +,,Efectos de estado más largos +,延长状态效果 +,Längere Statuseffekte +,Efeitos dos Estados Mais Longo +,États particuliers prolongés +,Продолжительные статусные эффекты +,더 긴 상태 효과 +
StatusEffectsShorter,Shorter Status Effects,,Efectos de estado más cortos,缩短状态效果,Kürzere Statuseffekte,Efeitos dos Estados Mais Curtos,États particuliers raccourcis,Непродолжительные статусные эффекты,더 짧은 상태 효과
Strength,Strength,,Fuerza,力量,Stärke,Força,Force,Сила,힘
StrengthPlus1,Strength +1,,Fuerza + 1,力量 + 1,Stärke +1,Força +1,Force +1,Сила +1,힘 +1
Weak,Weak,,Débil,虚弱,Schwach,Fraco,Faible,Слабость,약함
StrongLunge,Strong Lunge,,Embestida fuerte,强力突刺,Starker Überraschungsangriff,Ataque Forte,Ruée puissante,Мощный выпад,강력한 찌르기
SuperchargeHealth,Supercharge Health,,Supercargar la salud,生命值快充,Supergesundheitsaufladung,Supercarregar Energia,Super santé,Суперздоровье,헬스 과충전
TechExpert,Tech Expert,,Experto en tecnología,技术专家,Technikexperte,Especialista em tecnologia,Expert technologique,Технарь,기술 전문가
NoTechSkill,Computer Illiterate,,Analfabeto digital,电脑盲,Computerlaie,Analfabeto Digital,Noob de l'informatique,«Чайник»,컴퓨터 문맹
TheLaw,The Law,,La Ley,执法者,Das Gesetz,A Lei,La Loi,Я закон,법
TouchDamage,Touch Damage,,Daño de toque,金手指,Berührungsschaden,Dano de Toque,Toucher douloureux,Урон касанием,터치 데미지
Tranquilized,Tranquilized,,Sedado,镇定剂,Betäubt,Sedado,Tranquillisé,Транквилизатор,진정됨
Loud,Loud,,Ruidoso,噪音鞋子,Laut,Alto,Bruyant,Громкость,시끄러움
Confused,Confused,,Confundido,困惑,Verwirrt,Confuso,Confus,Смятение,혼란
MoreKnockingThroughWalls,Walls' Worst Nightmare,,La peor pesadilla de las paredes,墙壁的噩梦,Schlimmster Alptraum der Wände,O Pior Pesadelo das Paredes,Le pire cauchemar des murs,Страшный сон любой стены,벽의 최악의 악몽
MoreKnockingThroughWalls2,Walls' Worst Nightmare +,,La peor pesadilla de las paredes +,墙壁的噩梦 +,Schlimmster Alptraum der Wände +,O Pior Pesadelo das Paredes +,Le pire cauchemar des murs +,Страшный сон любой стены +,벽의 최악의 악몽 +
StrongFists,Knuckley,,De puños fuertes,指节套,Harter Knöchel,De Punhos Fortes,Tout en phalanges,Стальные костяшки,강력한 주먹
StrongFists2,Knuckley +,,De puños fuertes +,指节套 +,Harter Knöchel +,De Punhos Fortes +,Tout en phalanges +,Стальные костяшки +,강력한 주먹 +
StartWithFollowers,Loneliness Killer,,Asesino de soledad,独行杀手,Einsamkeitsauslöscher,Assassino de Solidão,Tueur de solitude,Борьба с одиночеством,외로움 킬러
StartWithFollowers2,Loneliness Killer +,,Asesino de soledad +,独行杀手 +,Einsamkeitsauslöscher +,Assassino de Solidão +,Tueur de solitude +,Борьба с одиночеством +,외로움 킬러 +
NoOwnCheckOnBreak,Clumsiness Forgiven,,Torpeza perdonada,允许笨拙,Tollpatschigkeit wird verziehen,Trapalhada Perdoada,Maladresse pardonnée,Неуклюжесть не беда,서투른 용서
GenericAgentsAligned,Friend of the Common Folk,,Amigo de la gente común,和人民打成一片,Freund des gemeinen Volkes,Amigo das Pessoas comuns,Ami des petites gens,Близость к народу,일반 사람들의 친구
LongLunge,Long Lunge,,Embestida larga,远距离突刺,Langer Überraschungsangriff,Ataque Longo,Longue ruée,Дальний выпад,긴 찌르기
LongLunge2,Long Lunge +,,Embestida larga +,远距离突刺 +,Langer Überraschungsangriff +,Ataque Longo +,Longue ruée +,Дальний выпад +,긴 찌르기 +
HardToShoot,Slippery Target,,Objetivo resbaladizo,滑不溜丢,Glitschiges Ziel,Alvo Evasivo,Cible évasive,Размытая цель,미끄러운 타겟
HardToShoot2,Slippery Target +,,Objetivo resbaladizo +,滑不溜丢 +,Glitschiges Ziel +,Alvo Evasivo +,Cible évasive +,Размытая цель +,미끄러운 타겟 +
DontHitAligned,No In-Fighting,,No atacarse entre amigos,禁止内斗,Keine Kämpfe unter Verbündeten,Sem Fogo Amigo,Pas de disputes internes,Не разлей вода,내부 싸움 없음
BloodRestoresHealth,Jugularious,,Yugularioso,吸血老妖,Halsaderlich,Jugularious,Hémothérapie,Кровопийца,흡혈귀
ServeDrinks,Serve Drinks,,Servir bebidas,提供酒水,Getränke servieren,Servir Bebidas,Sert des boissons,Бармен,음료 제공
ArtOfTheDeal,Art of the Deal,,El maestro de la negociación,交易的艺术,Verhandlungskunst,A Arte de Negociar,L'art de la transaction,Мастерство сделки,거래의 예술
Recharged,Recharged,,Recargado,充能完毕,Wieder aufgeladen,Recarregado,Rechargé,Перезарядка,충전됨
Dizzy,Dizzy,,Mareado,头晕眼花,Schwindlig,Atordoado,Étourdi,Ошеломление,현기증
DizzyB,Crazy-Dizzy,,Aturdido,晕死人,Crazy-Dizzy,Louco-Atordoado,Pris de vertiges,Полное ошеломление,미친 현기증
FullHealth,Full Health,,Con salud plena,满生命值,Volle Gesundheit,Energia Cheia,Pleine forme,Полное здоровье,전체 헬스
Diminutive,Diminutive,,Diminutivo,小矮人,Zwergenhaft,Diminutivo,Diminutif,Тщедушность,소형
Naked_Old,Naked,,Desnudo,一丝不挂,Nackt,Pelado,Nu,Обнаженность,벌거벗음
Naked,Wanted,,Buscado,通缉犯,Gesucht,Procurado,Recherché,Разыскивается,수배
ExtraLife,Extra Life for PAXers,,Vida extra para los PAXers,Extra Life for PAXers,Zusätzliches Leben für PAXer,Vida Extra para os PAXers,Vie supplémentaire pour les PAXeurs,Дополнительная жизнь для игроков на PAX,PAXers의 추가 수명
Backstab,Backstab!,,¡Puñalada!,背刺！,Stich in den Rücken!,Apunhalar pelas costas!,Frappe sournoise !,Удар сзади!,뒤통수 치기!
Ghost,Ghost,,Fantasma,幽灵,Geist,Fantasma,Fantôme,Призрак,유령
Suspicious,Suspicious,,Sospechoso,外形可疑,Verdächtig,Suspeito,Méfiant,Подозрительность,의심스러움
Cyanide,Cyanide,,Cianuro,氰化物,Cyanid,Cianeto,Cyanure,Цианид,청산가리
MeleeMobility,Floats Like Butterfly,,Flota como mariposa,彩蝶飞舞,Schwebt wie ein Schmetterling,Flutua Como Uma Borboleta,Vole comme le papillon,"Порхай, как бабочка",나비처럼 떠다니기
MeleeMobility2,Floats Like Butterfly +,,Flota como mariposa +,彩蝶飞舞 +,Schwebt wie ein Schmetterling +,Flutua Como Uma Borboleta +,Vole comme le papillon +,"Порхай, как бабочка +",나비처럼 떠다니기 +
MeleeLastLonger,Durabilitacious,,Durabilidoso,经久耐用,Haltbarkeitsdauer,Durável,Incassable,Уронопрочность,강한 내구성
MeleeLastLonger2,Durabilitacious +,,Durabilidoso +,经久耐用 +,Haltbarkeitsdauer +,Durável +,Incassable +,Уронопрочность +,강한 내구성 +
MapFilled,G-P-Yesss,,G-P-Sí,全球定位系统,GPS,G-P-Sim,Guide du Paumé Solitaire,Жы-Пы-Эс!,의 약어
OperateQuickly,Nimble Fingers,,Dedos ágiles,心灵手巧,Flinke Finger,Dedos Ágeis,Doigts de fée,Ловкие пальцы,재빠른 손가락
MoreSkillPoints,Studious,,Estudioso,勤奋,Fleißig,Estudioso,Studieux,Прилежность,열심히 공부
MoreSkillPoints2,Super Studious,,Súper estudioso,超级勤奋,Superfleißig,Super Estudioso,Super studieux,Отменная успеваемость,완전 열심히 공부
MoreTraitChoices,Jack of Extra Trades,,Todo terreno,全能超人,Alleskönner,De Tudo Mesmo,Touche-à-vraiment-tout,Талантливый ученик,만능 선수
MoreTraitChoices2,Jack of Extra Trades +,,Todo terreno +,全能超人 +,Alleskönner +,De Tudo Mesmo +,Touche-à-vraiment-tout +,Талантливый ученик +,만능 선수 +
FastWhenHealthLow,I'm Outtie,,Yo me largo,溜之大吉,Ich bin dann mal weg,Estou fora,J'suis plus là !,Я сваливаю,아웃이야
FastWhenHealthLow2,I'm Outtie +,,Yo me largo +,溜之大吉 +,Ich bin dann mal weg +,Estou fora +,J'suis plus là ! +,Я сваливаю +,아웃이야 +
MoreDamageWhenHealthLow,Don't Make Me Angry,,No me hagas enojar,愤怒就是力量,Mach mich nicht wütend,Não Me Irrite,Vous ne m'aimerez pas quand je suis en colère,Не зли меня,날 화나게 하지 마
MoreDamageWhenHealthLow2,Don't Make Me Angry +,,No me hagas enojar +,愤怒就是力量 +,Mach mich nicht wütend +,Não Me Irrite +,Vous ne m'aimerez pas quand je suis en colère +,Не зли меня +,날 화나게 하지 마 +
ScareEnemiesEasier,Disturbing Facial Expressions,,Expresiones faciales perturbadoras,狰狞面目,Beunruhigende Gesichtsausdrücke,Expressões Faciais Perturbadoras,Tête bizarre,Угрюмость,불안한 얼굴 표정
ScareEnemiesEasier2,Disturbing Facial Expressions +,,Expresiones faciales perturbadoras +,狰狞面目 +,Beunruhigende Gesichtsausdrücke +,Expressões Faciais Perturbadoras +,Tête bizarre +,Угрюмость +,불안한 얼굴 표정 +
FollowersExtraHealth,Infectious Spirit,,Espíritu infeccioso,士气高涨,Ansteckende Stimmung,Espírito Infeccioso,Esprit contagieux,Духовная поддержка,전염되는 정신
FollowersExtraHealth2,Infectious Spirit +,,Espíritu infeccioso +,士气高涨 +,Ansteckende Stimmung +,Espírito Infeccioso +,Esprit contagieux +,Духовная поддержка +,전염되는 정신 +
ChanceToSlowEnemies,Kneecapper,,Tronchapiernas,膝盖中了一箭,Kniescheibentreffer,Aleijador,Casseur de rotules,Целься в ноги,무릎따개
ChanceToSlowEnemies2,Kneecapper +,,Tronchapiernas +,膝盖中了一箭 +,Kniescheibentreffer +,Aleijador +,Casseur de rotules +,Целься в ноги +,무릎따개 +
NoStealPenalty,Promise I'll Return It!,,¡Prometo que regreso!,好借好还,"Ich verspreche, ich bring's zurück!",Prometo Que Voltarei!,"C'est juste un emprunt, promis !","Обещаю, я верну!",제가 그것을 돌려놓겠다고 약속해요!
HardToSeeFromDistance,Blends In Nicely,,Se integra bien,杳无踪迹,Passt sich gut an,Misturou-se Bem,Difficile à voir,Смешаться с толпой,멋지게 조화
HardToSeeFromDistance2,Blends In Nicely +,,Se integra bien +,杳无踪迹 +,Passt sich gut an +,Misturou-se Bem +,Difficile à voir +,Смешаться с толпой +,멋지게 조화 +
ChanceToKnockWeapons,Butterfinger-er,,Debilitador de dedos,手无寸铁,Waffen runter,Estragador de Dedos,Poisse contagieuse,Скользкие пальцы... у врага,서투른 사람
Scary,Scary,,Temerario,王霸之气,Unheimlich,Assustador,Effrayant,Страшный,무서운
Addict,Addict,,Adicto,瘾君子,Süchtiger,Viciado,Accro,Зависимость,중독자
DroppedWeapon,Dropped!,,¡Cayó!,手滑了！,Fallen gelassen!,Desistiu!,Lâchée !,Упало!,떨어짐!
Withdrawal,Withdrawal,,Retirada,戒毒副作用,Entzug,Retirada,Sevrage,Абстинентный синдром,후퇴
FeelingGood,Feelin' Alright,,Me siento bien,万事无忧,Ich fühle mich gut,Sentindo-se Bem,Tout va bien,Все в порядке,기분 좋다
WerewolfEffect,Werewolf,,Hombre lobo,狼人,Werwolf,Lobisomem,Loup-garou,Вервольф,늑대 인간
Bloodlust,Bloodlust,,Sed de sangre,嗜血,Blutrausch,Sede de Sangue,Soif de sang,Жажда крови,피에 굶주림
Bloodlust2,Bloodlust +,,Sed de sangre +,嗜血 +,Blutrausch +,Sede de Sangue +,Soif de sang +,Жажда крови +,피에 굶주림 +
IncreaseStatEvery2Levels,Potential to Not Suck,,Potencial para no desilusionar,潜力股,Potenzial zum Nicht-Versagen,Potencial Para Não Falhar,Pourra devenir utile,Шанс не проиграть,실패하지 않을 가능성
InDebt,Debt,,Deuda,债务,Schulden,Dívida,Dette,Долг,빚
InDebt2,Debt,,Deuda,债务,Schulden,Dívida,Dette,Долг,빚
InDebt3,Debt,,Deuda,债务,Schulden,Dívida,Dette,Долг,빚
CanBorrowMoney,Moocher,,Parásito,招摇撞骗,Schnorrer,Parasita,La taxe,Проситель,부랑자
CantInteract,Pea-Brained,,Cerebro de chorlito,榆木脑袋,Erbsenhirn,Cérebro de Ervilha,Charisme d'huître,Безмозглый,바보
Hypnotized,Hypnotized,,Hipnotizado,催眠大师,Hypnotisiert,Hipnotizado,Hypnotisé,Гипноз,최면에 걸림
Haterated,Haterated,,Odiado,过街老鼠,Hasserfüllt,Odiado,La haiiiiiiine,Ненавистник,증오함
TutorialAbility,Cry Profusely,,Llorar profusamente,嚎啕大哭,Doll weinen,Chorar Copiosamente,Torrent salé,Обильные слезы,실컷 울기
Zombify,Zombiism,,Zombificar,僵尸化,Zombifizieren,Zumbificar,Zombifié,Зомбирование,좀비화
ZombieArmy,Army of Five,,Ejercito de cinco,五人之军,Fünfer Armee,Arma de Fogo,Armée de cinq,Армия пяти,5인 부대
